Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Deandre Ayton,26,POR,C,40,40,30.2,6.6,11.7,.566,0.2,0.8,.188,6.5,10.9,.594,.573,1.0,1.5,.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,14.4,
Gradey Dick,21,TOR,SG,54,54,29.4,4.9,12.0,.410,2.1,6.0,.350,2.8,5.9,.470,.498,2.5,2.9,.858,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2,14.4,
Jerami Grant,30,POR,PF,47,47,32.4,4.6,12.2,.373,2.3,6.3,.365,2.3,5.9,.381,.467,3.0,3.5,.849,0.6,2.9,3.5,2.1,0.9,1.0,1.4,2.3,14.4,
Klay Thompson,34,DAL,SF,61,61,27.7,5.2,12.5,.415,3.1,7.8,.398,2.1,4.7,.443,.539,0.9,1.0,.905,0.7,2.9,3.6,2.1,0.8,0.5,1.3,1.2,14.4,
P.J. Washington,26,DAL,PF,48,47,32.2,5.1,11.7,.439,1.5,4.2,.368,3.6,7.5,.478,.504,2.5,3.3,.742,1.6,6.6,8.2,2.3,1.2,1.0,1.9,2.4,14.3,
Josh Hart,29,NYK,SG,64,64,37.8,5.4,10.2,.534,1.1,3.3,.335,4.3,6.9,.630,.588,2.2,2.8,.792,2.1,7.6,9.8,5.7,1.5,0.4,2.1,2.5,14.2,
Jakob Poeltl,29,TOR,C,52,51,29.8,6.2,10.1,.616,0.0,0.1,.333,6.2,10.0,.618,.617,1.8,2.6,.672,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.2,14.2,
Tre Mann,23,CHO,PG,13,0,24.5,5.4,12.4,.435,1.8,4.6,.400,3.5,7.8,.455,.509,1.5,1.6,.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1,
Payton Pritchard,27,BOS,PG,67,0,28.1,5.0,10.5,.471,3.3,7.9,.418,1.7,2.7,.626,.627,0.9,1.1,.851,1.3,2.4,3.7,3.4,0.9,0.2,1.0,1.5,14.1,
Fred VanVleet,30,HOU,PG,50,50,35.1,4.9,12.8,.382,2.6,7.7,.340,2.3,5.1,.447,.485,1.7,2.1,.811,0.6,3.4,4.0,5.7,1.6,0.5,1.5,2.4,14.1,
Dillon Brooks,29,HOU,SF,65,65,32.3,5.1,12.1,.420,2.5,6.3,.393,2.6,5.8,.450,.522,1.4,1.7,.817,1.1,2.8,3.9,1.8,0.8,0.2,1.0,3.4,14.0,
Amen Thompson,22,HOU,SF,60,33,32.5,5.5,10.0,.553,0.3,1.3,.256,5.2,8.7,.597,.569,2.6,3.8,.693,2.8,5.6,8.3,3.6,1.3,1.3,2.1,2.3,14.0,
Dyson Daniels,21,ATL,SG,63,63,34.0,5.9,12.2,.479,1.1,3.1,.344,4.8,9.1,.525,.523,1.2,2.0,.593,1.6,4.0,5.6,4.2,3.0,0.7,1.9,2.5,13.9,
Tobias Harris,32,DET,PF,65,65,32.1,5.3,11.2,.473,1.2,3.7,.339,4.1,7.6,.538,.528,2.0,2.3,.868,0.9,5.2,6.1,2.2,0.9,0.8,1.1,1.9,13.9,
Stephon Castle,20,SAS,PG,66,32,25.8,5.0,11.7,.427,1.2,4.1,.286,3.8,7.6,.502,.477,2.7,3.8,.718,1.0,2.2,3.2,3.5,0.9,0.2,2.0,2.0,13.8,
Josh Giddey,22,CHI,PG,60,60,29.7,5.1,11.0,.462,1.5,4.0,.376,3.6,7.0,.511,.530,2.2,2.8,.789,1.7,6.0,7.7,6.7,1.1,0.6,2.8,1.7,13.8,
Aaron Gordon,29,DEN,PF,40,31,27.2,4.9,9.4,.521,1.5,3.2,.457,3.4,6.2,.555,.599,2.6,3.2,.811,1.6,3.2,4.9,3.0,0.5,0.3,1.3,1.5,13.8,
Jarrett Allen,26,CLE,C,67,67,28.6,5.6,7.9,.702,0.0,0.0,.000,5.6,7.9,.706,.702,2.6,3.4,.743,2.7,7.6,10.2,2.0,1.0,1.0,1.2,1.6,13.7,
Bobby Portis,29,MIL,PF,46,7,25.2,5.6,12.1,.463,1.3,3.6,.364,4.3,8.5,.505,.517,1.2,1.5,.821,1.8,6.5,8.3,2.2,0.7,0.5,1.2,1.9,13.7,
Dennis SchrÃ¶der,31,3TM,PG,63,41,27.5,4.7,11.2,.418,1.8,5.2,.355,2.8,6.0,.472,.500,2.2,2.6,.836,0.3,2.3,2.6,5.3,1.0,0.2,2.0,2.4,13.4,
Dennis SchrÃ¶der,31,BRK,PG,23,23,33.6,6.4,14.1,.452,2.5,6.5,.387,3.9,7.6,.509,.542,3.1,3.5,.889,0.2,2.8,3.0,6.6,1.1,0.2,2.6,2.4,18.4,
Dennis SchrÃ¶der,31,GSW,SG,24,18,26.2,3.9,10.5,.375,1.5,4.8,.322,2.4,5.7,.419,.448,1.2,1.6,.744,0.4,1.9,2.3,4.4,1.0,0.1,2.0,2.8,10.6,
Dennis SchrÃ¶der,31,DET,PG,16,0,20.8,3.4,8.1,.415,1.3,3.9,.339,2.1,4.3,.485,.496,2.3,2.8,.822,0.4,2.0,2.4,4.9,0.6,0.3,1.1,1.8,10.4,
Rui Hachimura,26,LAL,PF,50,50,32.1,5.1,10.0,.506,1.7,4.1,.410,3.4,5.9,.573,.590,1.5,2.0,.765,1.5,3.8,5.2,1.5,0.8,0.5,0.9,1.8,13.3,
Quentin Grimes,24,2TM,SG,64,26,25.5,4.7,9.8,.482,2.0,5.0,.396,2.7,4.7,.574,.585,1.8,2.4,.742,0.8,3.5,4.3,2.6,0.9,0.3,1.6,1.8,13.2,
Quentin Grimes,24,DAL,SG,47,12,22.8,3.6,7.8,.463,1.7,4.3,.398,1.9,3.5,.543,.573,1.3,1.7,.765,0.6,3.2,3.8,2.1,0.7,0.2,1.3,1.7,10.2,
Quentin Grimes,24,PHI,SG,17,14,33.2,7.8,15.4,.510,2.8,7.2,.393,5.0,8.2,.612,.602,2.9,4.1,.714,1.1,4.4,5.5,3.8,1.5,0.6,2.5,2.2,21.4,
Russell Westbrook,36,DEN,PG,62,33,28.2,5.0,10.9,.460,1.3,3.9,.342,3.7,7.0,.525,.521,1.8,2.8,.640,1.5,3.6,5.1,6.2,1.4,0.5,3.1,2.5,13.1,
Moritz Wagner,27,ORL,C,30,1,18.8,4.7,8.3,.562,0.9,2.5,.360,3.8,5.8,.649,.616,2.6,3.7,.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9,
D'Angelo Russell,28,2TM,PG,52,30,25.6,4.4,10.9,.400,1.9,6.0,.318,2.4,4.9,.502,.489,2.1,2.5,.840,0.3,2.4,2.8,5.2,1.0,0.4,1.9,2.0,12.8,
D'Angelo Russell,28,LAL,PG,29,10,26.3,4.4,10.7,.415,1.9,5.8,.333,2.5,4.9,.510,.505,1.6,1.8,.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,
D'Angelo Russell,28,BRK,PG,23,20,24.7,4.3,11.1,.383,1.9,6.3,.301,2.3,4.8,.491,.469,2.8,3.4,.833,0.4,2.4,2.8,5.7,1.2,0.8,2.0,2.2,13.3,
Scoot Henderson,20,POR,PG,61,9,26.9,4.4,10.4,.426,1.6,4.3,.362,2.8,6.0,.471,.502,2.4,3.2,.772,0.8,2.3,3.1,5.0,1.1,0.2,2.7,2.8,12.8,
Onyeka Okongwu,24,ATL,C,61,27,26.7,5.1,8.9,.573,0.5,1.6,.300,4.6,7.2,.635,.601,2.2,2.9,.746,3.0,5.5,8.5,2.2,0.9,1.0,1.0,2.4,12.8,
Santi Aldama,24,MEM,PF,53,13,25.0,5.0,10.2,.487,1.8,4.8,.375,3.2,5.4,.588,.576,0.9,1.3,.700,1.6,5.1,6.7,2.8,0.8,0.5,1.0,1.1,12.7,
Oshae Brissett,26,PHI,SF,3,1,30.3,5.0,8.7,.577,1.7,4.0,.417,3.3,4.7,.714,.673,1.0,2.7,.375,2.0,1.7,3.7,1.0,1.0,1.0,2.7,2.3,12.7,
Malcolm Brogdon,32,WAS,PG,24,13,23.5,4.3,10.0,.433,0.7,2.3,.286,3.7,7.7,.478,.467,3.4,3.8,.880,0.9,2.9,3.8,4.1,0.5,0.2,1.6,1.3,12.7,
Naji Marshall,27,DAL,SF,56,22,26.6,4.9,10.0,.495,0.9,3.4,.277,4.0,6.6,.605,.541,1.8,2.2,.844,1.1,3.6,4.7,2.9,1.1,0.1,1.6,1.5,12.7,
Jaden McDaniels,24,MIN,PF,70,70,32.4,5.0,10.4,.482,1.3,3.9,.338,3.7,6.5,.569,.546,1.3,1.6,.830,1.7,4.4,6.1,2.1,1.5,0.9,1.1,2.9,12.7,
Keldon Johnson,25,SAS,SF,64,0,23.7,4.7,9.8,.486,1.2,3.5,.332,3.6,6.2,.573,.546,2.0,2.6,.768,1.4,3.2,4.5,1.5,0.6,0.2,1.0,1.5,12.6,
Brook Lopez,36,MIL,C,66,66,31.7,4.7,9.5,.493,1.8,4.8,.369,2.9,4.7,.620,.586,1.4,1.7,.848,1.3,3.6,5.0,1.7,0.7,1.9,1.0,2.2,12.5,
Alex Sarr,19,WAS,C,52,52,26.9,4.7,11.8,.393,1.6,4.9,.323,3.1,6.9,.444,.461,1.6,2.4,.653,1.9,4.7,6.6,2.3,0.7,1.6,1.4,2.3,12.5,
Tari Eason,23,HOU,PF,46,12,25.3,4.9,10.0,.486,1.2,3.3,.351,3.7,6.7,.554,.544,1.5,2.0,.769,2.3,4.1,6.3,1.3,1.8,0.9,1.1,2.5,12.4,
Bilal Coulibaly,20,WAS,SF,59,59,33.0,4.5,10.6,.421,1.1,3.8,.281,3.4,6.8,.500,.472,2.3,3.1,.746,1.5,3.4,5.0,3.4,1.3,0.7,2.1,2.4,12.3,
Ayo Dosunmu,25,CHI,SG,46,26,30.3,4.8,9.8,.492,1.3,4.1,.328,3.5,5.7,.612,.561,1.3,1.7,.785,0.6,2.9,3.5,4.5,0.9,0.4,1.5,2.3,12.3,
Daniel Gafford,26,DAL,C,51,28,21.9,5.0,7.1,.699,0.0,0.0,,5.0,7.1,.699,.699,2.4,3.4,.699,2.7,4.1,6.9,1.4,0.4,1.9,1.2,2.7,12.3,
Keegan Murray,24,SAC,PF,64,64,34.6,4.8,10.8,.440,1.9,5.8,.333,2.8,5.0,.564,.530,0.9,1.0,.833,2.0,4.8,6.8,1.4,0.8,0.8,0.8,2.5,12.3,
Khris Middleton,33,2TM,SF,34,18,23.1,4.5,9.1,.490,1.3,3.6,.358,3.2,5.5,.578,.561,1.9,2.3,.857,0.4,3.5,3.9,4.2,0.9,0.2,1.6,2.1,12.2,
Khris Middleton,33,MIL,SF,23,7,23.2,4.7,9.2,.512,1.5,3.7,.407,3.2,5.4,.584,.595,1.7,2.0,.848,0.2,3.5,3.7,4.4,0.7,0.2,1.6,2.3,12.6,
Khris Middleton,33,WAS,SF,11,11,22.8,4.0,9.0,.444,0.8,3.4,.243,3.2,5.6,.565,.490,2.5,2.8,.871,0.6,3.5,4.2,3.7,1.4,0.3,1.5,1.8,11.3,
Jabari Smith Jr.,21,HOU,PF,47,39,30.9,4.3,10.0,.431,1.7,4.9,.349,2.6,5.1,.510,.517,1.9,2.3,.813,1.9,4.8,6.7,1.0,0.4,0.8,1.0,2.3,12.2,
Daeqwon Plowden,26,ATL,SG,2,0,16.5,4.0,5.0,.800,3.0,4.0,.750,1.0,1.0,1.000,1.100,1.0,1.0,1.000,1.5,1.0,2.5,0.0,0.0,0.0,0.5,2.5,12.0,
Caris LeVert,30,2TM,SG,52,3,24.9,4.3,9.0,.473,1.7,4.3,.394,2.6,4.7,.547,.568,1.6,2.3,.718,0.6,2.5,3.1,3.4,0.9,0.5,1.2,1.5,11.9,
Caris LeVert,30,CLE,SF,38,3,23.8,3.6,7.8,.453,1.6,3.9,.405,2.0,3.9,.500,.554,1.5,2.2,.699,0.6,2.2,2.8,3.7,0.9,0.5,1.3,1.3,10.2,
Caris LeVert,30,ATL,SG,14,0,27.9,6.2,12.2,.509,2.1,5.6,.372,4.1,6.6,.624,.594,1.9,2.4,.765,0.6,3.2,3.9,2.5,1.0,0.6,0.9,2.0,16.4,
Ty Jerome,27,CLE,SG,62,2,19.6,4.3,8.5,.505,1.5,3.5,.435,2.8,5.0,.553,.594,1.9,2.1,.885,0.7,1.9,2.6,3.3,1.2,0.0,1.3,1.5,11.9,
Harrison Barnes,32,SAS,PF,67,67,27.3,4.1,8.0,.507,1.7,4.0,.432,2.3,4.0,.584,.616,1.9,2.4,.779,1.4,2.5,3.9,1.7,0.4,0.2,0.6,0.9,11.8,
Donte DiVincenzo,28,MIN,SG,51,10,26.6,4.0,9.6,.418,2.8,7.2,.395,1.2,2.4,.484,.565,0.9,1.1,.786,0.5,3.2,3.7,3.8,1.3,0.2,1.5,1.8,11.7,
Zaccharie Risacher,19,ATL,SF,61,59,24.5,4.4,10.0,.443,1.5,4.3,.343,2.9,5.7,.519,.517,1.4,2.0,.714,1.2,2.4,3.7,1.2,0.8,0.5,1.3,1.9,11.7,
Corey Kispert,25,WAS,SF,61,0,26.3,4.2,9.3,.451,2.0,5.4,.364,2.2,3.9,.574,.558,1.2,1.4,.852,0.6,2.4,3.0,1.7,0.4,0.2,1.0,1.6,11.6,
Walker Kessler,23,UTA,C,52,52,30.4,5.0,7.1,.698,0.1,0.3,.176,4.9,6.8,.723,.702,1.5,2.8,.545,4.7,7.8,12.5,1.6,0.6,2.4,1.5,2.2,11.5,
Jeremy Sochan,21,SAS,PF,47,19,25.2,4.7,8.5,.555,0.6,1.6,.342,4.1,6.9,.606,.588,1.5,2.3,.679,2.4,4.3,6.7,2.4,0.8,0.5,1.6,2.4,11.5,
Jalen Duren,21,DET,C,66,66,25.9,4.7,6.8,.696,0.0,0.0,,4.7,6.8,.696,.696,2.0,2.9,.683,3.4,6.8,10.3,2.6,0.7,1.2,1.8,3.2,11.4,
Isaiah Hartenstein,26,OKC,C,47,44,28.3,5.0,8.6,.578,0.0,0.3,.000,5.0,8.3,.601,.578,1.4,2.2,.667,2.9,8.2,11.1,3.9,0.8,1.0,1.7,3.0,11.4,
Aaron Wiggins,26,OKC,SG,67,21,22.5,4.5,9.1,.490,1.6,4.2,.387,2.8,4.9,.580,.580,0.8,1.0,.833,1.1,2.7,3.8,1.7,0.8,0.3,0.9,1.3,11.4,
Buddy Hield,32,GSW,SG,68,22,23.1,4.1,9.9,.415,2.5,6.9,.365,1.6,3.0,.527,.541,0.6,0.8,.784,0.6,2.6,3.2,1.7,0.9,0.3,1.2,1.6,11.3,
Aaron Nesmith,25,IND,SF,31,23,24.6,4.0,8.1,.500,1.7,4.1,.414,2.3,3.9,.590,.606,1.4,1.6,.898,0.7,3.0,3.7,1.4,0.7,0.4,0.8,2.5,11.2,
Terry Rozier,30,MIA,PG,59,23,26.6,4.1,10.3,.396,1.5,5.0,.300,2.6,5.3,.486,.469,1.5,1.8,.857,0.7,3.1,3.8,2.7,0.6,0.2,1.3,1.2,11.2,
Duncan Robinson,30,MIA,SF,65,33,24.5,4.0,9.1,.436,2.6,6.6,.388,1.4,2.5,.563,.577,0.7,0.7,.896,0.2,2.1,2.3,2.5,0.6,0.1,1.2,1.9,11.1,
Jonas ValanÄiÅ«nas,32,2TM,C,66,18,19.9,4.5,8.2,.546,0.1,0.5,.250,4.4,7.8,.564,.553,1.9,2.2,.867,2.5,5.7,8.2,2.2,0.5,0.7,1.6,2.2,11.0,
Jonas ValanÄiÅ«nas,32,WAS,C,49,12,20.1,4.7,8.6,.547,0.1,0.6,.259,4.6,8.1,.567,.556,1.9,2.2,.896,2.4,5.8,8.2,2.2,0.4,0.6,1.8,2.0,11.5,
Jonas ValanÄiÅ«nas,32,SAC,C,17,6,19.5,3.9,7.2,.541,0.1,0.3,.200,3.8,6.9,.556,.545,1.7,2.2,.784,2.8,5.4,8.1,2.3,0.7,0.9,1.2,2.8,9.5,
Jrue Holiday,34,BOS,PG,52,52,30.5,4.1,9.2,.445,1.8,5.1,.343,2.3,4.1,.570,.540,1.0,1.2,.900,1.2,3.1,4.3,3.7,1.0,0.5,1.3,1.7,11.0,
Bogdan BogdanoviÄ,32,2TM,SG,40,4,25.5,3.9,9.6,.407,1.9,5.8,.328,2.0,3.8,.530,.507,1.2,1.4,.870,0.5,2.5,3.0,2.4,0.7,0.2,1.5,2.3,10.9,
Bogdan BogdanoviÄ,32,ATL,SG,24,0,24.9,3.5,9.3,.371,1.8,6.1,.301,1.6,3.3,.500,.469,1.3,1.4,.882,0.5,2.3,2.8,2.0,0.8,0.3,1.5,2.4,10.0,
Bogdan BogdanoviÄ,32,LAC,SG,16,4,26.3,4.6,9.9,.459,2.0,5.4,.372,2.6,4.6,.562,.560,1.1,1.3,.850,0.4,2.9,3.4,2.9,0.6,0.2,1.5,2.3,12.2,
Rudy Gobert,32,MIN,C,60,60,32.7,4.3,6.5,.654,0.0,0.0,,4.3,6.5,.654,.654,2.4,3.5,.678,3.5,6.8,10.3,1.8,0.7,1.5,1.3,2.4,10.9,
Toumani Camara,24,POR,PF,66,66,32.8,4.0,8.8,.454,1.6,4.3,.369,2.4,4.5,.535,.544,1.2,1.6,.745,2.3,3.6,5.9,2.2,1.5,0.7,1.5,3.1,10.8,
Jaylen Wells,21,MEM,SG,69,64,26.0,3.8,8.8,.432,1.8,5.1,.360,2.0,3.8,.529,.535,1.4,1.7,.810,1.1,2.2,3.3,1.7,0.6,0.1,0.9,1.9,10.8,
Grayson Allen,29,PHO,SG,53,3,24.8,3.4,7.6,.450,2.4,5.6,.434,1.0,2.0,.495,.611,1.5,1.8,.811,0.5,2.6,3.1,2.2,0.9,0.4,1.1,1.5,10.7,
Brandon Boston Jr.,23,NOP,SG,42,10,23.6,4.0,9.1,.436,1.2,3.3,.350,2.8,5.7,.485,.500,1.6,2.0,.788,0.7,2.5,3.2,2.2,1.3,0.2,1.2,1.7,10.7,
Nikola JoviÄ,21,MIA,PF,46,10,25.1,3.7,8.2,.456,1.7,4.6,.371,2.0,3.6,.563,.560,1.6,1.9,.828,0.6,3.3,3.9,2.8,0.8,0.3,1.3,1.8,10.7,
Spencer Dinwiddie,31,DAL,PG,67,20,26.0,3.4,8.3,.414,1.4,4.0,.336,2.1,4.3,.488,.496,2.3,2.9,.809,0.2,2.2,2.4,3.8,0.8,0.2,1.2,1.5,10.6,
Jordan Hawkins,22,NOP,SG,51,7,23.3,3.6,9.8,.371,1.9,5.8,.332,1.7,4.1,.425,.468,1.4,1.6,.831,0.5,2.2,2.6,1.1,0.6,0.4,1.0,0.8,10.6,
Gary Trent Jr.,26,MIL,SG,60,7,24.8,3.8,8.6,.437,2.3,5.6,.417,1.4,3.0,.473,.572,0.8,1.0,.831,0.3,2.1,2.3,1.2,1.0,0.1,0.6,1.8,10.6,
Derrick Jones Jr.,27,LAC,SF,63,52,24.8,4.2,7.9,.528,1.0,2.8,.362,3.2,5.1,.619,.592,1.1,1.6,.704,1.3,2.2,3.5,0.8,1.1,0.4,0.9,2.0,10.5,
Guerschon Yabusele,29,PHI,C,62,35,26.6,3.8,7.7,.497,1.5,3.8,.391,2.3,3.9,.599,.593,1.4,1.9,.739,1.9,3.7,5.6,2.0,0.8,0.4,1.3,2.4,10.5,
Tim Hardaway Jr.,32,DET,SG,65,65,28.1,3.4,8.6,.400,2.1,5.8,.361,1.3,2.8,.483,.522,1.5,1.8,.826,0.2,2.2,2.4,1.6,0.5,0.1,0.7,1.2,10.4,
Tyus Jones,28,PHO,PG,68,57,28.1,3.8,8.5,.447,2.1,4.9,.426,1.7,3.6,.477,.571,0.7,0.8,.891,0.5,1.9,2.4,5.7,0.8,0.1,1.3,0.9,10.4,
Grant Williams,26,CHO,PF,16,7,29.9,3.4,7.7,.439,1.7,4.6,.365,1.7,3.1,.551,.549,1.9,2.3,.838,1.1,4.0,5.1,2.3,1.1,0.8,1.8,2.9,10.4,
Herbert Jones,26,NOP,SF,20,20,32.4,3.8,8.6,.436,1.1,3.6,.306,2.7,5.0,.530,.500,1.7,2.0,.825,1.1,2.8,3.9,3.3,1.9,0.5,1.8,3.3,10.3,
De'Anthony Melton,26,GSW,SG,6,2,20.2,3.7,9.0,.407,2.2,5.8,.371,1.5,3.2,.474,.528,0.8,1.3,.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3,
Obi Toppin,26,IND,PF,64,1,19.5,3.9,7.4,.533,1.3,3.6,.351,2.7,3.8,.704,.618,1.2,1.5,.792,0.7,3.3,4.1,1.6,0.6,0.3,0.9,1.4,10.3,
Nic Claxton,25,BRK,C,59,51,27.2,4.5,8.2,.549,0.0,0.3,.063,4.5,7.9,.566,.550,1.2,2.3,.522,2.2,5.2,7.4,2.3,0.9,1.5,1.2,2.2,10.2,
Amir Coffey,27,LAC,SG,66,13,25.5,3.5,7.5,.473,1.5,3.6,.414,2.0,3.9,.527,.572,1.6,1.8,.908,0.5,1.8,2.3,1.1,0.6,0.1,0.6,1.7,10.2,
Keon Johnson,22,BRK,SG,66,43,23.9,3.7,9.7,.378,1.5,5.0,.304,2.2,4.8,.455,.456,1.3,1.6,.778,0.9,2.9,3.8,2.0,1.0,0.4,1.3,2.5,10.2,
Andrew Nembhard,25,IND,SG,51,51,28.8,3.8,8.2,.469,0.8,2.6,.311,3.0,5.6,.542,.518,1.7,2.2,.793,0.5,2.6,3.1,5.0,1.3,0.2,1.8,2.4,10.2,
Ochai Agbaji,24,TOR,SG,55,39,26.9,4.0,8.0,.503,1.5,3.8,.399,2.5,4.2,.597,.598,0.6,0.8,.689,0.9,2.8,3.7,1.5,0.8,0.5,0.8,1.8,10.1,
Brandin Podziemski,21,GSW,SG,50,19,25.4,3.8,8.9,.427,1.4,4.3,.319,2.5,4.7,.526,.503,1.1,1.5,.757,1.0,3.8,4.9,3.4,1.1,0.2,1.1,1.5,10.1,
Chris Boucher,32,TOR,PF,50,0,17.2,3.6,7.4,.492,1.4,3.9,.363,2.2,3.5,.633,.586,1.4,1.7,.782,1.4,3.1,4.5,0.7,0.5,0.5,0.6,1.4,10.0,
N'Faly Dante,23,HOU,C,1,0,19.0,4.0,6.0,.667,0.0,0.0,,4.0,6.0,.667,.667,2.0,3.0,.667,4.0,5.0,9.0,1.0,0.0,2.0,1.0,4.0,10.0,
Moses Moody,22,GSW,SG,60,20,21.4,3.4,7.6,.448,1.8,4.5,.391,1.6,3.1,.533,.565,1.4,1.8,.782,0.7,1.8,2.5,1.2,0.7,0.4,0.7,1.5,10.0,
Brice Sensabaugh,21,UTA,SF,58,8,18.8,3.6,7.9,.455,1.9,4.8,.402,1.7,3.2,.536,.576,0.8,0.9,.907,0.6,2.2,2.7,1.4,0.6,0.1,1.5,1.4,10.0,
Ziaire Williams,23,BRK,SF,53,35,24.6,3.4,8.3,.411,1.6,4.6,.337,1.8,3.6,.505,.506,1.6,2.0,.829,1.1,3.7,4.8,1.4,1.0,0.4,1.0,2.4,10.0,
Luguentz Dort,25,OKC,SF,62,62,29.1,3.5,8.3,.424,2.3,5.7,.396,1.3,2.6,.488,.561,0.5,0.7,.750,1.4,2.8,4.2,1.6,1.1,0.6,0.7,2.9,9.9,
Georges Niang,31,2TM,PF,66,2,21.8,3.5,7.7,.459,2.0,5.0,.393,1.6,2.8,.577,.585,0.6,0.8,.800,0.7,3.1,3.8,1.5,0.4,0.2,0.9,2.5,9.7,
Georges Niang,31,CLE,PF,51,1,20.6,3.3,6.8,.477,1.8,4.4,.400,1.5,2.4,.618,.606,0.5,0.6,.793,0.7,3.0,3.7,1.3,0.3,0.1,0.9,2.5,8.7,
Georges Niang,31,ATL,PF,15,1,25.8,4.5,10.8,.420,2.6,6.9,.379,1.9,3.9,.492,.540,1.1,1.4,.810,0.7,3.5,4.2,1.9,0.5,0.3,0.9,2.6,12.8,
A.J. Lawson,24,TOR,SG,14,2,19.0,3.3,8.1,.404,1.6,4.6,.359,1.6,3.6,.460,.504,1.5,2.3,.656,0.9,2.4,3.3,1.0,0.3,0.1,0.6,1.9,9.7,
Kevin Porter Jr.,24,2TM,SG,61,2,18.8,3.7,8.5,.438,0.7,2.3,.297,3.0,6.2,.489,.478,1.5,2.0,.738,0.5,2.9,3.4,3.2,1.0,0.2,1.8,1.5,9.6,
Kevin Porter Jr.,24,LAC,SG,45,2,19.6,3.8,9.0,.423,0.6,2.4,.245,3.2,6.7,.485,.455,1.1,1.7,.645,0.6,2.9,3.6,3.2,1.0,0.2,1.9,1.6,9.3,
Kevin Porter Jr.,24,MIL,SG,16,0,16.4,3.4,6.8,.495,0.9,2.0,.469,2.4,4.8,.506,.564,2.6,2.9,.891,0.3,2.9,3.1,3.1,1.1,0.1,1.8,1.4,10.3,
Jose Alvarado,26,NOP,PG,45,12,23.9,3.4,8.5,.399,2.0,5.3,.374,1.4,3.2,.441,.516,0.9,1.1,.800,0.4,1.9,2.3,4.6,1.4,0.2,1.1,1.7,9.6,
Cole Anthony,24,ORL,PG,61,22,18.6,3.5,8.3,.423,1.1,3.2,.349,2.4,5.1,.470,.490,1.4,1.7,.821,0.7,2.3,3.0,2.9,0.7,0.4,1.6,2.3,9.6,
Julian Champagnie,23,SAS,SF,67,26,23.2,3.3,7.9,.415,2.1,5.7,.361,1.2,2.2,.559,.546,0.9,1.0,.899,0.8,3.0,3.8,1.3,0.8,0.4,0.9,1.3,9.6,
