Player,Team,FG%,3P%,2P%,eFG%,TS%,PTS,AST,AST%,TRB%,ORB%,DRB%,BLK%,STL%,TRB%,ORB,DRB,TRB,FTr,3PAr,STL,BLK,TOV,TOV%,USG%,PER,WS,WS/48,BPM,VORP,OBPM,DBPM,DWS,OWS,OnCourt,On-Off,2024-25,Guaranteed,BadPass,LostBall,OnCourt,2024-25_Payroll
Larry Nance Jr.,ATL,0.516,0.447,0.582,0.626,0.632,8.5,1.6,11.4,12.1,5.3,19.4,2.6,2.0,12.1,1.0,3.3,4.3,0.084,0.49,0.8,0.5,0.7,9.1,15.6,16.0,1.3,0.13,1.6,0.4,1.0,0.6,0.5,0.8,-8.9,-7.9,$11205000,$11205000,12,0,-8.9,167769541
Lonzo Ball,CHI,0.366,0.344,0.458,0.504,0.524,7.6,3.3,19.2,7.9,3.4,12.4,1.9,2.8,7.9,0.7,2.7,3.4,0.111,0.802,1.3,0.5,1.2,13.9,15.9,12.2,1.2,0.072,-0.1,0.4,-1.6,1.6,0.9,0.3,6.5,12.4,$21395348,$31395348,34,3,6.5,165919354
Luguentz Dort,OKC,0.424,0.396,0.488,0.561,0.572,9.9,1.6,6.9,7.7,5.1,10.2,2.0,1.8,7.7,1.4,2.8,4.2,0.085,0.69,1.1,0.6,0.7,7.6,13.6,11.1,4.7,0.126,-0.2,0.8,-0.8,0.7,2.8,1.9,13.1,0.7,$16500000,$34222222,18,12,13.1,164952350
Luke Kennard,MEM,0.482,0.446,0.537,0.617,0.639,9.5,3.4,19.3,6.5,2.9,10.1,0.4,1.5,6.5,0.6,2.2,2.8,0.137,0.608,0.7,0.1,1.1,13.3,15.2,14.5,3.5,0.139,1.7,1.1,1.7,0.0,1.0,2.5,5.1,-1.1,$9250000,$9250000,40,16,5.1,163241293
Luke Kornet,BOS,0.667,0.0,0.673,0.667,0.686,5.2,1.6,11.9,15.1,14.3,15.9,4.9,1.4,15.1,2.4,2.6,5.0,0.404,0.01,0.5,1.0,0.4,10.4,10.4,18.6,5.3,0.234,3.0,1.4,1.1,1.9,1.7,3.6,11.6,4.8,$2087519,$2087519,11,6,11.6,193336448
Malcolm Brogdon,WAS,0.433,0.286,0.478,0.467,0.544,12.7,4.1,27.2,8.4,3.9,13.0,0.8,1.1,8.4,0.9,2.9,3.8,0.383,0.233,0.5,0.2,1.6,11.9,23.6,15.7,0.8,0.065,-1.6,0.1,-0.1,-1.5,0.2,0.6,-9.8,2.1,$22500000,$22500000,20,17,-9.8,167683313
Malik Beasley,DET,0.439,0.418,0.494,0.589,0.597,16.2,1.7,9.2,5.5,2.3,8.6,0.2,1.7,5.5,0.6,2.2,2.7,0.125,0.718,1.0,0.1,1.1,7.6,22.6,14.8,4.2,0.107,1.1,1.5,2.1,-0.9,1.8,2.4,3.1,1.4,$6000000,$6000000,40,25,3.1,141808220
Marcus Sasser,DET,0.462,0.367,0.571,0.56,0.582,5.7,2.2,22.9,4.7,2.6,6.8,0.6,2.2,4.7,0.3,0.8,1.1,0.138,0.533,0.6,0.1,0.8,14.7,18.2,13.3,1.5,0.11,-0.5,0.3,-0.7,0.3,0.7,0.8,1.7,-0.9,$2755080,$5641800,21,14,1.7,141808220
Max Strus,CLE,0.429,0.385,0.6,0.582,0.599,9.4,3.1,15.5,9.5,4.4,14.3,0.9,1.1,9.5,1.0,3.4,4.4,0.095,0.796,0.6,0.3,0.9,10.5,14.9,13.0,2.8,0.139,2.0,1.0,1.5,0.5,1.1,1.8,9.9,-1.4,$15212068,$47809356,20,10,9.9,169080163
Michael Porter Jr.,DEN,0.502,0.398,0.59,0.593,0.613,18.3,2.1,8.6,11.4,6.1,16.1,1.2,0.9,11.4,1.8,5.2,7.0,0.183,0.457,0.6,0.4,1.3,7.8,20.2,16.3,5.6,0.12,-0.2,1.0,1.7,-1.9,1.5,4.1,5.9,4.4,$35859950,$86193000,36,32,5.9,182574315
Miles McBride,NYK,0.411,0.376,0.456,0.517,0.539,9.4,2.8,14.8,5.8,3.5,8.0,1.1,2.0,5.8,0.8,1.8,2.5,0.127,0.564,1.0,0.3,0.7,7.1,16.6,12.6,2.9,0.098,0.1,0.7,-0.2,0.3,1.2,1.7,8.7,7.1,$4710144,$13000000,19,11,8.7,188375874
Mitchell Robinson,NYK,0.654,,0.654,0.654,0.674,4.8,0.5,4.0,17.3,19.8,14.8,4.3,3.4,17.3,2.8,2.1,4.9,0.192,0.0,1.1,0.8,0.6,15.1,11.2,18.8,0.5,0.199,2.1,0.1,0.6,1.5,0.2,0.3,15.7,11.6,$14318182,$27272728,3,1,15.7,188375874
Moritz Wagner,ORL,0.562,0.36,0.649,0.616,0.649,12.9,1.4,13.9,15.1,7.7,23.4,2.0,2.1,15.1,1.3,3.6,4.9,0.442,0.301,0.8,0.4,1.6,14.1,26.8,22.3,2.0,0.171,3.9,0.8,2.6,1.3,1.0,1.0,-3.0,-1.3,$11000000,$11000000,12,17,-3.0,150359238
Moses Brown,DAL,0.724,,0.724,0.724,0.743,11.8,0.5,4.7,23.0,12.0,33.6,3.5,2.7,23.0,2.0,5.8,7.8,0.25,0.0,1.0,0.8,1.3,21.3,26.5,26.4,0.4,0.227,3.6,0.1,2.0,1.5,0.2,0.2,-0.5,-0.1,$306660,$306660,5,0,-0.5,175238530
Mouhamed Gueye,ATL,0.417,0.25,0.6,0.483,0.511,6.0,0.8,6.2,10.9,5.5,16.7,6.4,2.9,10.9,0.9,2.4,3.3,0.183,0.522,1.0,1.1,0.4,6.8,15.9,13.5,0.6,0.088,-0.2,0.2,-2.1,1.9,0.5,0.1,1.2,3.7,$1891857,$1891857,3,4,1.2,167769541
Myles Turner,IND,0.473,0.393,0.545,0.566,0.601,15.5,1.6,7.3,11.8,4.5,19.0,5.4,1.3,11.8,1.2,5.2,6.4,0.274,0.476,0.8,1.8,1.7,11.8,20.7,15.5,3.4,0.09,-0.2,0.8,-0.3,0.1,2.1,1.3,3.3,4.7,$19928500,$19928500,35,29,3.3,168569767
Naji Marshall,DAL,0.495,0.277,0.605,0.541,0.578,12.7,2.9,15.8,9.5,4.6,14.3,0.5,2.0,9.5,1.1,3.6,4.7,0.218,0.336,1.1,0.1,1.6,12.4,20.2,15.3,2.8,0.089,-0.6,0.5,-0.3,-0.3,1.2,1.6,-2.1,-3.0,$8571429,$27000000,48,26,-2.1,175238530
Naz Reid,MIN,0.462,0.387,0.537,0.559,0.58,14.7,2.2,12.2,12.1,4.6,19.5,3.2,1.4,12.1,1.2,5.0,6.1,0.158,0.5,0.8,1.0,1.4,9.8,21.8,16.1,5.0,0.126,1.8,1.8,0.9,0.9,2.9,2.1,6.9,6.0,$13986432,$13986432,41,31,6.9,202492182
Neemias Queta,BOS,0.644,0.0,0.655,0.644,0.668,5.1,0.6,6.3,14.8,11.0,18.6,4.2,1.0,14.8,1.5,2.5,3.9,0.311,0.017,0.3,0.7,0.7,15.2,13.6,15.4,2.6,0.165,-1.5,0.1,-2.2,0.7,1.1,1.5,11.5,4.1,$2162606,$2162606,5,8,11.5,193336448
Nickeil Alexander-Walker,MIN,0.444,0.393,0.522,0.562,0.583,9.3,2.5,14.2,7.0,2.6,11.3,1.4,1.2,7.0,0.6,2.6,3.2,0.163,0.6,0.6,0.4,1.2,13.2,15.8,11.2,3.3,0.091,-0.8,0.5,-1.0,0.2,1.9,1.5,6.2,3.9,$4312500,$4312500,62,16,6.2,202492182
Nikola Jović,MIA,0.456,0.371,0.563,0.56,0.595,10.7,2.8,17.1,8.6,2.5,14.5,1.1,1.6,8.6,0.6,3.3,3.9,0.231,0.557,0.8,0.3,1.3,12.6,18.3,13.8,2.4,0.098,0.0,0.6,-0.4,0.4,1.2,1.2,-1.3,0.5,$2464200,$6909617,29,14,-1.3,173088172
Norman Powell,LAC,0.49,0.423,0.547,0.587,0.626,23.2,2.1,10.8,5.9,1.2,10.4,0.5,1.9,5.9,0.4,3.0,3.4,0.288,0.459,1.3,0.2,2.0,9.7,27.3,19.0,4.5,0.139,2.5,1.8,2.7,-0.2,1.8,2.7,6.1,6.1,$19241379,$39724137,38,36,6.1,169670454
Ochai Agbaji,TOR,0.503,0.399,0.597,0.598,0.605,10.1,1.5,7.9,7.3,3.4,11.4,1.8,1.5,7.3,0.9,2.8,3.7,0.102,0.472,0.8,0.5,0.8,8.4,14.2,12.0,2.6,0.084,-0.5,0.5,-0.6,0.1,1.1,1.5,-6.4,-2.3,$4310280,$10693805,15,14,-6.4,169454647
Olivier-Maxence Prosper,DAL,0.402,0.235,0.472,0.437,0.484,3.9,0.8,9.1,11.7,8.3,15.0,0.9,2.2,11.7,0.8,1.6,2.4,0.437,0.293,0.5,0.1,0.3,6.3,16.3,12.6,0.9,0.073,-2.2,0.0,-1.6,-0.6,0.5,0.4,-7.4,-8.5,$2870400,$5877480,6,3,-7.4,175238530
Orlando Robinson,TOR,0.434,0.269,0.466,0.456,0.512,7.4,1.9,20.6,15.4,12.8,21.6,2.4,2.6,15.4,2.3,3.2,5.5,0.412,0.294,0.4,0.5,1.2,16.6,18.3,13.0,0.7,0.067,-2.9,0.0,-2.6,1.2,0.5,0.2,5.7,4.7,$1199723,$959779,9,14,5.7,169454647
Ousmane Dieng,OKC,0.432,0.324,0.574,0.524,0.538,3.8,0.8,9.7,10.7,4.8,16.3,1.7,2.0,10.7,0.5,1.7,2.2,0.128,0.568,0.5,0.2,0.5,12.0,15.7,11.5,0.9,0.105,-1.1,0.1,-2.1,1.0,0.7,0.2,6.0,-7.7,$5027040,$11697922,10,4,6.0,164952350
P.J. Washington,DAL,0.439,0.368,0.478,0.504,0.542,14.3,2.3,10.2,13.7,5.5,21.7,2.8,1.8,13.7,1.6,6.6,8.2,0.282,0.357,1.2,1.0,1.9,12.7,20.1,14.0,2.1,0.067,-0.8,0.5,-1.1,0.4,1.8,0.3,3.3,7.0,$15500000,$29652174,29,46,3.3,175238530
Paolo Banchero,ORL,0.444,0.325,0.496,0.493,0.544,25.1,4.7,26.1,12.2,3.5,22.0,2.0,1.2,12.2,1.1,6.1,7.2,0.432,0.304,0.8,0.7,2.8,10.9,33.1,19.6,2.5,0.099,3.4,1.7,3.3,0.1,1.8,0.7,-4.5,-4.0,$12160800,$27495569,50,40,-4.5,150359238
Pat Connaughton,MIL,0.427,0.323,0.545,0.513,0.538,4.2,1.6,14.8,9.5,4.1,14.5,1.8,0.6,9.5,0.5,2.0,2.6,0.162,0.53,0.2,0.3,0.6,13.2,13.6,10.1,0.7,0.074,-2.4,0.0,-1.9,-0.5,0.4,0.3,-2.1,-4.5,$9423869,$9423869,15,4,-2.1,182600201
Pelle Larsson,MIA,0.441,0.319,0.562,0.521,0.549,4.0,0.9,10.1,6.2,3.4,8.9,0.7,1.5,6.2,0.4,1.1,1.5,0.297,0.497,0.4,0.1,0.4,8.9,13.6,8.8,0.9,0.07,-4.6,-0.4,-4.5,0.0,0.5,0.4,1.0,3.2,$1157153,$1157153,12,2,1.0,173088172
Peyton Watson,DEN,0.47,0.364,0.522,0.53,0.565,7.8,1.4,7.4,7.6,3.5,11.3,4.7,1.6,7.6,0.7,2.6,3.3,0.336,0.327,0.8,1.3,0.9,11.1,13.9,11.5,2.1,0.077,-1.5,0.2,-1.9,0.4,1.3,0.9,1.8,-4.3,$2413560,$6770036,20,17,1.8,182574315
Precious Achiuwa,NYK,0.519,0.3,0.551,0.538,0.554,6.5,1.0,6.2,15.5,10.7,20.2,3.2,1.9,15.5,2.0,3.8,5.7,0.217,0.128,0.8,0.7,0.7,11.1,13.5,14.1,2.2,0.114,-1.2,0.2,-1.4,0.2,1.3,0.9,-0.8,-7.6,$6000000,$6000000,10,11,-0.8,188375874
Quinten Post,GSW,0.461,0.414,0.538,0.59,0.602,8.3,1.5,13.7,12.7,6.4,19.5,2.8,1.3,12.7,1.0,2.9,3.9,0.092,0.621,0.5,0.5,0.8,10.8,19.9,15.6,1.4,0.131,1.2,0.4,0.8,0.4,0.7,0.7,2.4,-0.6,$438920,$438920,12,5,2.4,175759694
RJ Barrett,TOR,0.472,0.359,0.523,0.528,0.553,21.5,5.7,28.1,10.6,3.3,18.2,0.8,1.2,10.6,1.0,5.4,6.5,0.319,0.308,0.8,0.3,3.0,13.2,28.5,16.8,2.3,0.064,0.7,1.2,1.5,-0.7,1.4,0.9,-4.5,1.3,$25794643,$83116071,95,43,-4.5,169454647
Richaun Holmes,WAS,0.659,0.0,0.675,0.659,0.705,7.7,1.4,12.2,17.0,11.7,22.4,3.9,0.8,17.0,2.0,3.9,5.9,0.439,0.024,0.3,0.8,0.8,12.5,14.4,19.5,1.8,0.175,1.2,0.4,1.0,0.2,0.4,1.4,-2.6,10.5,$12648321,$12648321,4,7,-2.6,167683313
Ricky Council IV,PHI,0.402,0.292,0.497,0.47,0.525,6.7,1.2,11.2,8.7,4.6,13.2,1.2,1.5,8.7,0.6,1.7,2.4,0.296,0.465,0.5,0.2,0.6,8.3,19.5,12.7,1.0,0.05,-2.8,-0.2,-0.9,-1.9,0.4,0.5,-2.9,3.1,$1891857,$4113534,12,8,-2.9,169007888
Robert Williams,POR,0.641,0.333,0.653,0.647,0.679,5.8,1.1,8.6,18.3,10.7,26.2,8.6,1.8,18.3,1.8,4.2,5.9,0.218,0.038,0.7,1.7,0.9,16.6,12.2,19.0,1.3,0.173,2.9,0.4,-0.1,3.0,0.6,0.6,-3.6,0.3,$12428571,$25714284,8,4,-3.6,167086613
Rui Hachimura,LAL,0.506,0.41,0.573,0.59,0.612,13.3,1.5,6.7,9.1,5.3,12.8,1.4,1.2,9.1,1.5,3.8,5.2,0.196,0.41,0.8,0.5,0.9,7.5,16.1,13.7,3.7,0.112,-0.8,0.5,-0.3,-0.5,1.4,2.3,4.7,5.0,$17000000,$35259259,19,17,4.7,188022153
Ryan Rollins,MIL,0.465,0.365,0.541,0.544,0.568,4.8,1.2,14.9,7.3,3.8,10.5,2.8,2.7,7.3,0.4,1.2,1.6,0.145,0.43,0.7,0.3,0.8,16.1,18.9,12.9,0.8,0.076,-0.8,0.2,-2.2,1.4,0.7,0.1,7.2,6.4,$600000,$600000,24,8,7.2,182600201
Sam Merrill,CLE,0.405,0.371,0.63,0.566,0.585,7.2,1.4,8.8,5.7,2.9,8.4,0.8,1.6,5.7,0.5,1.5,2.0,0.083,0.868,0.6,0.2,0.5,7.0,14.5,10.8,2.6,0.111,-0.1,0.6,-0.5,0.4,1.2,1.5,12.9,3.1,$2164993,$2164993,15,3,12.9,169080163
Santi Aldama,MEM,0.487,0.375,0.588,0.576,0.588,12.7,2.8,15.3,14.1,6.8,21.2,2.0,1.5,14.1,1.6,5.1,6.7,0.13,0.474,0.8,0.5,1.0,8.5,18.8,17.8,4.4,0.159,3.8,1.9,3.0,0.8,1.7,2.7,8.4,4.3,$3960531,$3960531,32,14,8.4,163241293
Shaedon Sharpe,POR,0.449,0.313,0.55,0.516,0.548,17.5,2.6,13.7,7.3,3.1,11.7,0.7,1.2,7.3,0.9,3.2,4.1,0.209,0.427,0.8,0.2,2.0,11.2,24.6,13.8,2.0,0.051,-1.9,0.0,-0.3,-1.6,1.1,0.8,-5.9,-4.3,$6614160,$15014143,57,50,-5.9,167086613
Simone Fontecchio,DET,0.408,0.34,0.512,0.511,0.551,6.3,0.9,7.3,10.0,4.5,15.3,1.0,1.1,10.0,0.7,2.4,3.1,0.24,0.604,0.4,0.2,0.8,11.9,16.1,10.1,1.6,0.071,-2.6,-0.2,-2.1,-0.5,1.1,0.4,-0.5,-4.4,$7692308,$16000000,23,18,-0.5,141808220
Spencer Dinwiddie,DAL,0.414,0.336,0.488,0.496,0.552,10.6,3.8,19.7,5.1,0.9,9.1,0.7,1.5,5.1,0.2,2.2,2.4,0.348,0.486,0.8,0.2,1.2,10.9,17.8,12.5,2.8,0.077,-1.9,0.0,-1.2,-0.7,0.9,1.9,-3.3,-6.1,$2087519,$2087519,52,11,-3.3,175238530
Steven Adams,HOU,0.522,0.0,0.526,0.522,0.514,3.5,1.2,12.8,22.1,22.3,21.9,3.0,1.3,22.1,2.7,2.6,5.3,0.582,0.007,0.3,0.4,0.9,20.3,14.0,16.6,1.7,0.131,0.4,0.4,0.1,0.3,1.0,0.6,6.0,2.0,$12600000,$12600000,22,12,6.0,167805430
Talen Horton-Tucker,CHI,0.441,0.365,0.5,0.52,0.546,5.5,1.3,16.4,8.0,2.9,13.0,1.6,1.4,8.0,0.3,1.4,1.7,0.257,0.432,0.3,0.2,0.7,11.8,21.3,12.6,0.6,0.048,-2.9,-0.1,-1.9,-0.9,0.4,0.1,-0.9,2.4,$2087519,$2087519,13,10,-0.9,165919354
Tari Eason,HOU,0.486,0.351,0.554,0.544,0.571,12.4,1.3,7.8,13.3,9.4,17.4,3.2,3.4,13.3,2.3,4.1,6.3,0.197,0.334,1.8,0.9,1.1,9.2,19.5,18.8,4.3,0.179,3.9,1.7,1.2,2.7,2.5,1.9,7.5,4.9,$3695160,$9370926,20,12,7.5,167805430
Taurean Prince,MIL,0.452,0.446,0.463,0.598,0.61,8.1,2.0,9.8,7.6,2.0,12.8,0.5,1.6,7.6,0.5,3.3,3.8,0.084,0.653,0.9,0.1,1.1,13.9,12.5,9.7,2.9,0.078,-1.8,0.1,-2.0,0.3,1.9,1.0,-0.4,-4.8,$2087519,$2087519,39,19,-0.4,182600201
Taylor Hendricks,UTA,0.222,0.25,0.167,0.306,0.354,4.7,0.7,3.4,10.8,7.3,14.2,5.0,3.2,10.8,1.7,3.3,5.0,0.222,0.667,1.7,1.3,0.7,9.2,12.1,7.2,0.0,0.0,-3.3,0.0,-4.6,1.4,0.1,-0.1,-13.1,-5.7,$5848680,$11975760,2,0,-13.1,153559613
Terry Rozier,MIA,0.396,0.3,0.486,0.469,0.504,11.2,2.7,15.2,7.8,2.8,12.7,0.9,1.1,7.8,0.7,3.1,3.8,0.173,0.482,0.6,0.2,1.3,10.4,20.7,10.8,0.8,0.025,-3.7,-0.7,-2.6,-1.2,1.3,-0.5,-4.4,-5.3,$24924126,$51567157,43,17,-4.4,173088172
Tim Hardaway Jr.,DET,0.4,0.361,0.483,0.522,0.557,10.4,1.6,7.5,4.8,1.0,8.5,0.3,0.9,4.8,0.2,2.2,2.4,0.206,0.677,0.5,0.1,0.7,6.6,15.0,9.2,2.8,0.073,-2.5,-0.2,-1.7,-0.8,1.4,1.4,0.7,-3.8,$16193183,$16193183,23,12,0.7,141808220
Tobias Harris,DET,0.473,0.339,0.538,0.528,0.567,13.9,2.2,9.4,10.5,3.3,17.6,2.3,1.4,10.5,0.9,5.2,6.1,0.208,0.327,0.9,0.8,1.1,8.3,17.5,13.7,4.8,0.111,-0.2,1.0,-0.7,0.5,2.7,2.1,5.5,8.1,$25365854,$52000000,26,24,5.5,141808220
Toumani Camara,POR,0.454,0.369,0.535,0.544,0.566,10.8,2.2,9.3,9.8,7.5,12.1,1.9,2.2,9.8,2.3,3.6,5.9,0.182,0.485,1.5,0.7,1.5,13.4,14.0,12.0,3.9,0.087,-0.6,0.7,-1.3,0.7,2.1,1.9,-3.0,2.5,$1891857,$1891857,39,29,-3.0,167086613
Trae Young,ATL,0.406,0.328,0.474,0.482,0.56,24.1,11.4,46.2,4.8,1.4,8.4,0.4,1.5,4.8,0.5,2.7,3.2,0.406,0.464,1.2,0.2,4.8,18.3,29.8,17.6,4.0,0.084,-0.2,1.0,2.7,-2.9,1.1,2.9,0.4,8.3,$43031940,$89031600,232,54,0.4,167769541
Trayce Jackson-Davis,GSW,0.571,0.0,0.573,0.571,0.583,6.9,1.8,15.9,16.9,12.5,21.5,3.8,1.2,16.9,2.1,3.4,5.4,0.319,0.004,0.4,0.7,0.8,11.3,16.5,18.1,3.1,0.163,1.3,0.8,0.2,1.1,1.4,1.8,-3.1,-8.2,$1891857,$1891857,16,9,-3.1,175759694
Trendon Watford,BRK,0.449,0.295,0.506,0.489,0.542,9.0,2.4,20.9,10.0,4.4,16.0,1.4,1.8,10.0,0.7,2.5,3.2,0.338,0.271,0.7,0.3,1.7,17.3,23.7,12.5,0.4,0.03,-3.4,-0.2,-3.0,-0.5,0.5,-0.2,-3.4,3.8,$2726603,$2726603,16,18,-3.4,169054676
Trey Lyles,SAC,0.409,0.342,0.529,0.519,0.539,6.1,1.1,7.7,13.7,6.4,21.1,1.9,1.6,13.7,1.1,3.4,4.5,0.196,0.643,0.6,0.4,0.6,9.1,14.6,12.1,1.8,0.085,-1.0,0.3,-0.7,-0.3,1.0,0.8,-2.7,-5.4,$8000000,$8000000,16,9,-2.7,168263796
Ty Jerome,CLE,0.504,0.427,0.557,0.592,0.631,11.9,3.3,23.6,7.0,4.1,9.8,0.1,2.8,7.0,0.7,1.8,2.5,0.253,0.412,1.2,0.0,1.3,12.0,23.2,20.2,5.1,0.197,3.7,1.8,2.8,0.9,1.7,3.4,11.0,0.3,$2560975,$2560975,35,32,11.0,169080163
Tyler Herro,MIA,0.46,0.367,0.559,0.554,0.592,23.5,5.7,27.6,8.2,1.3,15.1,0.7,1.2,8.2,0.4,4.9,5.3,0.226,0.514,0.9,0.2,2.6,11.4,28.1,19.0,5.5,0.114,2.7,2.7,3.5,-0.9,2.1,3.4,-1.8,-0.4,$29000000,$93000000,86,63,-1.8,173088172
Vince Williams Jr.,MEM,0.394,0.254,0.56,0.463,0.492,6.8,1.9,13.2,10.3,5.2,15.3,1.2,1.6,10.3,0.9,2.7,3.6,0.183,0.541,0.6,0.2,1.4,16.9,18.1,8.9,0.2,0.029,-3.2,-0.1,-3.2,0.0,0.4,-0.2,-0.3,-6.8,$2120693,$4422280,16,7,-0.3,163241293
Walker Kessler,UTA,0.698,0.176,0.723,0.702,0.69,11.5,1.6,7.8,22.1,16.7,27.4,7.6,0.9,22.1,4.7,7.8,12.5,0.385,0.046,0.6,2.4,1.5,15.2,13.5,20.8,5.5,0.168,2.3,1.7,1.5,0.8,1.8,3.7,-6.2,2.6,$2965920,$7844858,23,29,-6.2,153559613
Wendell Moore Jr.,DET,0.46,0.286,0.528,0.5,0.561,3.2,1.2,13.5,11.5,9.2,16.5,1.3,2.2,11.5,0.6,1.7,2.2,0.28,0.304,0.5,0.2,0.5,13.9,15.4,12.4,0.7,0.119,-0.1,0.1,-1.8,1.7,0.4,0.3,4.6,2.3,$2537040,$2537040,9,7,4.6,141808220
Ziaire Williams,BRK,0.412,0.34,0.505,0.508,0.549,10.1,1.4,8.8,11.0,4.9,17.8,1.7,2.0,11.0,1.1,3.7,4.8,0.238,0.563,1.0,0.4,1.0,10.0,18.1,12.2,2.0,0.073,-2.3,-0.1,-2.0,-0.2,1.3,0.7,-8.3,-3.0,$6133005,$6133005,29,15,-8.3,169054676
