Player,Team,FG%,3P%,2P%,eFG%,TS%,PTS,AST,AST%,ORB,DRB,TRB,ORB%,DRB%,STL,BLK,STL%,BLK%,DBPM,TOV,TOV%,USG%,BPM,WS/48,VORP,PER
Jock Landale,HOU,0.483,0.412,0.495,0.513,0.544,4.0,0.8,10.1,1.3,1.8,3.1,12.5,18.4,0.2,0.3,0.9,2.1,0.4,0.4,10.9,15.8,-0.4,0.139,0.2,14.6
John Collins,UTA,0.527,0.399,0.577,0.583,0.628,19.0,2.0,10.8,2.2,6.0,8.2,8.0,20.8,1.0,1.0,1.5,3.1,-0.3,2.6,14.6,24.1,1.1,0.107,1.0,19.0
John Konchar,MEM,0.44,0.346,0.652,0.56,0.579,2.5,0.9,8.5,0.8,2.5,3.4,7.4,21.5,0.5,0.4,1.7,2.6,1.6,0.4,15.1,8.2,0.6,0.12,0.3,11.2
Jonathan Kuminga,GSW,0.455,0.331,0.499,0.498,0.536,16.3,2.3,14.2,1.3,3.4,4.8,5.4,14.7,0.9,0.5,1.6,1.9,-0.1,1.6,9.3,27.5,-0.1,0.082,0.4,16.0
Jonathan Mogbo,TOR,0.442,0.298,0.478,0.472,0.507,5.3,1.6,12.2,1.6,2.6,4.2,9.3,15.7,0.8,0.5,2.0,2.7,0.8,0.9,14.5,14.1,-1.9,0.069,0.0,11.5
Jordan Clarkson,UTA,0.41,0.367,0.448,0.496,0.542,16.5,3.8,22.9,0.7,2.5,3.2,3.0,10.1,0.9,0.2,1.6,0.8,-2.0,2.2,12.7,27.5,-1.0,0.041,0.2,15.1
Jordan Hawkins,NOP,0.371,0.332,0.425,0.468,0.5,10.6,1.1,7.1,0.5,2.2,2.6,2.0,10.4,0.6,0.4,1.2,1.8,-2.9,1.0,8.5,20.8,-5.3,-0.019,-1.0,9.7
Jordan Poole,WAS,0.424,0.377,0.49,0.534,0.582,20.8,4.6,25.3,0.5,2.7,3.2,1.7,9.3,1.4,0.5,2.2,1.3,-1.4,3.2,15.1,28.7,0.2,0.043,0.9,16.2
Jose Alvarado,NOP,0.399,0.374,0.441,0.516,0.537,9.6,4.6,27.3,0.4,1.9,2.3,1.9,8.7,1.4,0.2,2.7,1.0,-0.3,1.1,11.2,17.8,-0.5,0.075,0.4,14.2
Josh Giddey,CHI,0.462,0.376,0.511,0.53,0.566,13.8,6.7,31.6,1.7,6.0,7.7,6.1,20.7,1.1,0.6,1.7,1.9,0.8,2.8,18.4,21.0,2.2,0.106,1.9,17.1
Julian Champagnie,SAS,0.415,0.361,0.559,0.546,0.572,9.6,1.3,7.9,0.8,3.0,3.8,3.7,13.7,0.8,0.4,1.6,1.7,-0.9,0.9,9.5,16.9,-1.4,0.059,0.2,12.0
Julian Phillips,CHI,0.443,0.333,0.568,0.532,0.571,4.6,0.5,4.5,0.9,1.2,2.1,6.9,8.6,0.5,0.3,1.6,1.7,-0.6,0.4,8.2,13.2,-3.1,0.078,-0.3,10.4
Julian Strawther,DEN,0.434,0.357,0.531,0.534,0.563,9.4,1.3,7.6,0.3,1.9,2.2,1.4,9.0,0.6,0.2,1.3,1.0,-1.5,0.9,10.1,17.7,-4.6,0.044,-0.9,9.5
Julius Randle,MIN,0.474,0.325,0.546,0.527,0.584,18.7,4.7,22.6,2.2,4.9,7.1,7.5,16.6,0.7,0.2,1.0,0.6,-0.4,2.8,15.0,25.3,1.0,0.129,1.4,17.4
Justin Edwards,PHI,0.45,0.348,0.575,0.546,0.557,8.6,1.4,8.5,1.0,2.1,3.1,4.5,10.0,0.9,0.3,1.7,1.3,-1.6,0.9,10.2,15.3,-3.8,0.045,-0.4,10.5
Karlo Matković,NOP,0.556,0.333,0.638,0.601,0.627,6.4,0.9,7.2,1.6,3.2,4.8,9.5,19.8,0.5,1.0,1.3,5.4,-0.3,1.0,16.9,14.3,-3.1,0.082,-0.2,14.2
Keegan Murray,SAC,0.44,0.333,0.564,0.53,0.546,12.3,1.4,5.5,2.0,4.8,6.8,6.5,15.4,0.8,0.8,1.1,2.4,-1.0,0.8,6.8,15.0,-2.1,0.078,-0.1,11.6
Keldon Johnson,SAS,0.486,0.332,0.573,0.546,0.58,12.6,1.5,9.6,1.4,3.2,4.5,6.2,14.3,0.6,0.2,1.3,0.9,-1.7,1.0,8.2,21.3,-1.6,0.085,0.1,15.4
Kelly Oubre Jr.,PHI,0.47,0.293,0.555,0.518,0.551,15.1,1.8,8.0,1.6,4.5,6.1,5.1,15.6,1.5,0.5,2.2,1.4,-0.6,1.3,8.9,19.0,-2.2,0.066,-0.1,13.6
Kenrich Williams,OKC,0.48,0.367,0.597,0.573,0.588,5.6,1.2,10.6,0.9,2.4,3.3,6.8,16.6,0.6,0.1,1.9,0.8,1.0,0.5,10.2,15.0,0.6,0.153,0.5,13.6
Kentavious Caldwell-Pope,ORL,0.428,0.319,0.585,0.522,0.556,8.7,1.8,8.5,0.4,1.7,2.1,1.3,7.0,1.3,0.5,2.2,1.5,1.4,0.8,9.6,12.5,-2.2,0.083,-0.1,9.2
Keon Ellis,SAC,0.484,0.43,0.6,0.631,0.656,8.2,1.4,7.7,0.7,1.7,2.5,3.6,8.4,1.4,0.8,3.0,3.3,1.8,0.8,11.5,13.2,1.9,0.125,1.5,13.8
Keon Johnson,BRK,0.379,0.307,0.453,0.457,0.486,10.2,2.0,13.4,0.9,2.9,3.7,4.0,14.4,1.0,0.4,2.2,1.7,-0.2,1.3,11.0,21.6,-3.5,0.013,-0.6,10.3
Kevon Looney,GSW,0.514,0.0,0.52,0.514,0.529,4.8,1.6,14.8,2.6,3.8,6.4,17.8,26.9,0.7,0.5,2.0,3.0,1.1,0.6,11.4,14.0,0.1,0.179,0.5,17.3
Keyonte George,UTA,0.395,0.343,0.462,0.491,0.542,16.8,5.8,28.0,0.4,3.4,3.8,1.4,11.5,0.7,0.2,1.1,0.5,-2.2,2.8,15.4,24.4,-2.1,0.036,0.0,13.3
Kobe Bufkin,ATL,0.383,0.211,0.5,0.426,0.483,5.3,1.7,18.4,0.5,1.6,2.1,4.3,14.5,0.3,0.2,1.1,1.5,-0.6,0.8,12.7,20.8,-4.1,0.018,-0.1,10.6
Kris Dunn,LAC,0.425,0.299,0.551,0.5,0.504,6.0,3.0,16.8,0.8,2.7,3.5,3.8,12.4,1.8,0.4,3.7,1.6,3.5,1.0,14.8,12.7,0.4,0.098,0.9,11.1
Kris Murray,POR,0.442,0.247,0.578,0.493,0.491,4.1,0.9,8.6,1.1,1.4,2.5,7.9,11.0,0.5,0.2,1.9,1.4,0.0,0.6,11.9,13.9,-2.5,0.041,-0.1,9.9
Kristaps Porziņģis,BOS,0.483,0.391,0.553,0.568,0.614,19.3,1.9,10.4,1.5,5.3,6.8,5.7,19.9,0.8,1.6,1.4,5.1,1.2,1.2,7.3,25.5,4.4,0.202,1.6,22.1
Landry Shamet,NYK,0.467,0.368,0.596,0.571,0.573,4.1,0.5,5.0,0.2,0.9,1.0,1.6,7.6,0.5,0.1,2.0,0.4,0.4,0.4,10.1,13.5,-2.8,0.05,-0.1,8.7
Larry Nance Jr.,ATL,0.516,0.447,0.582,0.626,0.632,8.5,1.6,11.4,1.0,3.3,4.3,5.3,19.4,0.8,0.5,2.0,2.6,0.6,0.7,9.1,15.6,1.6,0.13,0.4,16.0
Lonzo Ball,CHI,0.366,0.344,0.458,0.504,0.524,7.6,3.3,19.2,0.7,2.7,3.4,3.4,12.4,1.3,0.5,2.8,1.9,1.6,1.2,13.9,15.9,-0.1,0.072,0.4,12.2
Luguentz Dort,OKC,0.424,0.396,0.488,0.561,0.572,9.9,1.6,6.9,1.4,2.8,4.2,5.1,10.2,1.1,0.6,1.8,2.0,0.7,0.7,7.6,13.6,-0.2,0.126,0.8,11.1
Luke Kennard,MEM,0.482,0.446,0.537,0.617,0.639,9.5,3.4,19.3,0.6,2.2,2.8,2.9,10.1,0.7,0.1,1.5,0.4,0.0,1.1,13.3,15.2,1.7,0.139,1.1,14.5
Luke Kornet,BOS,0.667,0.0,0.673,0.667,0.686,5.2,1.6,11.9,2.4,2.6,5.0,14.3,15.9,0.5,1.0,1.4,4.9,1.9,0.4,10.4,10.4,3.0,0.234,1.4,18.6
Malcolm Brogdon,WAS,0.433,0.286,0.478,0.467,0.544,12.7,4.1,27.2,0.9,2.9,3.8,3.9,13.0,0.5,0.2,1.1,0.8,-1.5,1.6,11.9,23.6,-1.6,0.065,0.1,15.7
Malik Beasley,DET,0.439,0.418,0.494,0.589,0.597,16.2,1.7,9.2,0.6,2.2,2.7,2.3,8.6,1.0,0.1,1.7,0.2,-0.9,1.1,7.6,22.6,1.1,0.107,1.5,14.8
Marcus Sasser,DET,0.462,0.367,0.571,0.56,0.582,5.7,2.2,22.9,0.3,0.8,1.1,2.6,6.8,0.6,0.1,2.2,0.6,0.3,0.8,14.7,18.2,-0.5,0.11,0.3,13.3
Max Strus,CLE,0.429,0.385,0.6,0.582,0.599,9.4,3.1,15.5,1.0,3.4,4.4,4.4,14.3,0.6,0.3,1.1,0.9,0.5,0.9,10.5,14.9,2.0,0.139,1.0,13.0
Michael Porter Jr.,DEN,0.502,0.398,0.59,0.593,0.613,18.3,2.1,8.6,1.8,5.2,7.0,6.1,16.1,0.6,0.4,0.9,1.2,-1.9,1.3,7.8,20.2,-0.2,0.12,1.0,16.3
Miles McBride,NYK,0.411,0.376,0.456,0.517,0.539,9.4,2.8,14.8,0.8,1.8,2.5,3.5,8.0,1.0,0.3,2.0,1.1,0.3,0.7,7.1,16.6,0.1,0.098,0.7,12.6
Mitchell Robinson,NYK,0.654,,0.654,0.654,0.674,4.8,0.5,4.0,2.8,2.1,4.9,19.8,14.8,1.1,0.8,3.4,4.3,1.5,0.6,15.1,11.2,2.1,0.199,0.1,18.8
Moritz Wagner,ORL,0.562,0.36,0.649,0.616,0.649,12.9,1.4,13.9,1.3,3.6,4.9,7.7,23.4,0.8,0.4,2.1,2.0,1.3,1.6,14.1,26.8,3.9,0.171,0.8,22.3
Moses Brown,DAL,0.724,,0.724,0.724,0.743,11.8,0.5,4.7,2.0,5.8,7.8,12.0,33.6,1.0,0.8,2.7,3.5,1.5,1.3,21.3,26.5,3.6,0.227,0.1,26.4
Mouhamed Gueye,ATL,0.417,0.25,0.6,0.483,0.511,6.0,0.8,6.2,0.9,2.4,3.3,5.5,16.7,1.0,1.1,2.9,6.4,1.9,0.4,6.8,15.9,-0.2,0.088,0.2,13.5
Myles Turner,IND,0.473,0.393,0.545,0.566,0.601,15.5,1.6,7.3,1.2,5.2,6.4,4.5,19.0,0.8,1.8,1.3,5.4,0.1,1.7,11.8,20.7,-0.2,0.09,0.8,15.5
Naji Marshall,DAL,0.495,0.277,0.605,0.541,0.578,12.7,2.9,15.8,1.1,3.6,4.7,4.6,14.3,1.1,0.1,2.0,0.5,-0.3,1.6,12.4,20.2,-0.6,0.089,0.5,15.3
Naz Reid,MIN,0.462,0.387,0.537,0.559,0.58,14.7,2.2,12.2,1.2,5.0,6.1,4.6,19.5,0.8,1.0,1.4,3.2,0.9,1.4,9.8,21.8,1.8,0.126,1.8,16.1
Neemias Queta,BOS,0.644,0.0,0.655,0.644,0.668,5.1,0.6,6.3,1.5,2.5,3.9,11.0,18.6,0.3,0.7,1.0,4.2,0.7,0.7,15.2,13.6,-1.5,0.165,0.1,15.4
Nickeil Alexander-Walker,MIN,0.444,0.393,0.522,0.562,0.583,9.3,2.5,14.2,0.6,2.6,3.2,2.6,11.3,0.6,0.4,1.2,1.4,0.2,1.2,13.2,15.8,-0.8,0.091,0.5,11.2
Nikola Jović,MIA,0.456,0.371,0.563,0.56,0.595,10.7,2.8,17.1,0.6,3.3,3.9,2.5,14.5,0.8,0.3,1.6,1.1,0.4,1.3,12.6,18.3,0.0,0.098,0.6,13.8
Norman Powell,LAC,0.49,0.423,0.547,0.587,0.626,23.2,2.1,10.8,0.4,3.0,3.4,1.2,10.4,1.3,0.2,1.9,0.5,-0.2,2.0,9.7,27.3,2.5,0.139,1.8,19.0
Ochai Agbaji,TOR,0.503,0.399,0.597,0.598,0.605,10.1,1.5,7.9,0.9,2.8,3.7,3.4,11.4,0.8,0.5,1.5,1.8,0.1,0.8,8.4,14.2,-0.5,0.084,0.5,12.0
Olivier-Maxence Prosper,DAL,0.402,0.235,0.472,0.437,0.484,3.9,0.8,9.1,0.8,1.6,2.4,8.3,15.0,0.5,0.1,2.2,0.9,-0.6,0.3,6.3,16.3,-2.2,0.073,0.0,12.6
Orlando Robinson,TOR,0.434,0.269,0.466,0.456,0.512,7.4,1.9,20.6,2.3,3.2,5.5,12.8,21.6,0.4,0.5,2.6,2.4,1.2,1.2,16.6,18.3,-2.9,0.067,0.0,13.0
Ousmane Dieng,OKC,0.432,0.324,0.574,0.524,0.538,3.8,0.8,9.7,0.5,1.7,2.2,4.8,16.3,0.5,0.2,2.0,1.7,1.0,0.5,12.0,15.7,-1.1,0.105,0.1,11.5
P.J. Washington,DAL,0.439,0.368,0.478,0.504,0.542,14.3,2.3,10.2,1.6,6.6,8.2,5.5,21.7,1.2,1.0,1.8,2.8,0.4,1.9,12.7,20.1,-0.8,0.067,0.5,14.0
Paolo Banchero,ORL,0.444,0.325,0.496,0.493,0.544,25.1,4.7,26.1,1.1,6.1,7.2,3.5,22.0,0.8,0.7,1.2,2.0,0.1,2.8,10.9,33.1,3.4,0.099,1.7,19.6
Pat Connaughton,MIL,0.427,0.323,0.545,0.513,0.538,4.2,1.6,14.8,0.5,2.0,2.6,4.1,14.5,0.2,0.3,0.6,1.8,-0.5,0.6,13.2,13.6,-2.4,0.074,0.0,10.1
Pelle Larsson,MIA,0.441,0.319,0.562,0.521,0.549,4.0,0.9,10.1,0.4,1.1,1.5,3.4,8.9,0.4,0.1,1.5,0.7,0.0,0.4,8.9,13.6,-4.6,0.07,-0.4,8.8
Peyton Watson,DEN,0.47,0.364,0.522,0.53,0.565,7.8,1.4,7.4,0.7,2.6,3.3,3.5,11.3,0.8,1.3,1.6,4.7,0.4,0.9,11.1,13.9,-1.5,0.077,0.2,11.5
Precious Achiuwa,NYK,0.519,0.3,0.551,0.538,0.554,6.5,1.0,6.2,2.0,3.8,5.7,10.7,20.2,0.8,0.7,1.9,3.2,0.2,0.7,11.1,13.5,-1.2,0.114,0.2,14.1
Quinten Post,GSW,0.461,0.414,0.538,0.59,0.602,8.3,1.5,13.7,1.0,2.9,3.9,6.4,19.5,0.5,0.5,1.3,2.8,0.4,0.8,10.8,19.9,1.2,0.131,0.4,15.6
RJ Barrett,TOR,0.472,0.359,0.523,0.528,0.553,21.5,5.7,28.1,1.0,5.4,6.5,3.3,18.2,0.8,0.3,1.2,0.8,-0.7,3.0,13.2,28.5,0.7,0.064,1.2,16.8
Richaun Holmes,WAS,0.659,0.0,0.675,0.659,0.705,7.7,1.4,12.2,2.0,3.9,5.9,11.7,22.4,0.3,0.8,0.8,3.9,0.2,0.8,12.5,14.4,1.2,0.175,0.4,19.5
Ricky Council IV,PHI,0.402,0.292,0.497,0.47,0.525,6.7,1.2,11.2,0.6,1.7,2.4,4.6,13.2,0.5,0.2,1.5,1.2,-1.9,0.6,8.3,19.5,-2.8,0.05,-0.2,12.7
Robert Williams,POR,0.641,0.333,0.653,0.647,0.679,5.8,1.1,8.6,1.8,4.2,5.9,10.7,26.2,0.7,1.7,1.8,8.6,3.0,0.9,16.6,12.2,2.9,0.173,0.4,19.0
Rui Hachimura,LAL,0.506,0.41,0.573,0.59,0.612,13.3,1.5,6.7,1.5,3.8,5.2,5.3,12.8,0.8,0.5,1.2,1.4,-0.5,0.9,7.5,16.1,-0.8,0.112,0.5,13.7
Ryan Rollins,MIL,0.465,0.365,0.541,0.544,0.568,4.8,1.2,14.9,0.4,1.2,1.6,3.8,10.5,0.7,0.3,2.7,2.8,1.4,0.8,16.1,18.9,-0.8,0.076,0.2,12.9
Sam Merrill,CLE,0.405,0.371,0.63,0.566,0.585,7.2,1.4,8.8,0.5,1.5,2.0,2.9,8.4,0.6,0.2,1.6,0.8,0.4,0.5,7.0,14.5,-0.1,0.111,0.6,10.8
Santi Aldama,MEM,0.487,0.375,0.588,0.576,0.588,12.7,2.8,15.3,1.6,5.1,6.7,6.8,21.2,0.8,0.5,1.5,2.0,0.8,1.0,8.5,18.8,3.8,0.159,1.9,17.8
Shaedon Sharpe,POR,0.449,0.313,0.55,0.516,0.548,17.5,2.6,13.7,0.9,3.2,4.1,3.1,11.7,0.8,0.2,1.2,0.7,-1.6,2.0,11.2,24.6,-1.9,0.051,0.0,13.8
Simone Fontecchio,DET,0.408,0.34,0.512,0.511,0.551,6.3,0.9,7.3,0.7,2.4,3.1,4.5,15.3,0.4,0.2,1.1,1.0,-0.5,0.8,11.9,16.1,-2.6,0.071,-0.2,10.1
Spencer Dinwiddie,DAL,0.414,0.336,0.488,0.496,0.552,10.6,3.8,19.7,0.2,2.2,2.4,0.9,9.1,0.8,0.2,1.5,0.7,-0.7,1.2,10.9,17.8,-1.9,0.077,0.0,12.5
Steven Adams,HOU,0.522,0.0,0.526,0.522,0.514,3.5,1.2,12.8,2.7,2.6,5.3,22.3,21.9,0.3,0.4,1.3,3.0,0.3,0.9,20.3,14.0,0.4,0.131,0.4,16.6
Talen Horton-Tucker,CHI,0.441,0.365,0.5,0.52,0.546,5.5,1.3,16.4,0.3,1.4,1.7,2.9,13.0,0.3,0.2,1.4,1.6,-0.9,0.7,11.8,21.3,-2.9,0.048,-0.1,12.6
Tari Eason,HOU,0.486,0.351,0.554,0.544,0.571,12.4,1.3,7.8,2.3,4.1,6.3,9.4,17.4,1.8,0.9,3.4,3.2,2.7,1.1,9.2,19.5,3.9,0.179,1.7,18.8
Taurean Prince,MIL,0.452,0.446,0.463,0.598,0.61,8.1,2.0,9.8,0.5,3.3,3.8,2.0,12.8,0.9,0.1,1.6,0.5,0.3,1.1,13.9,12.5,-1.8,0.078,0.1,9.7
Taylor Hendricks,UTA,0.222,0.25,0.167,0.306,0.354,4.7,0.7,3.4,1.7,3.3,5.0,7.3,14.2,1.7,1.3,3.2,5.0,1.4,0.7,9.2,12.1,-3.3,0.0,0.0,7.2
Terry Rozier,MIA,0.396,0.3,0.486,0.469,0.504,11.2,2.7,15.2,0.7,3.1,3.8,2.8,12.7,0.6,0.2,1.1,0.9,-1.2,1.3,10.4,20.7,-3.7,0.025,-0.7,10.8
Tim Hardaway Jr.,DET,0.4,0.361,0.483,0.522,0.557,10.4,1.6,7.5,0.2,2.2,2.4,1.0,8.5,0.5,0.1,0.9,0.3,-0.8,0.7,6.6,15.0,-2.5,0.073,-0.2,9.2
Tobias Harris,DET,0.473,0.339,0.538,0.528,0.567,13.9,2.2,9.4,0.9,5.2,6.1,3.3,17.6,0.9,0.8,1.4,2.3,0.5,1.1,8.3,17.5,-0.2,0.111,1.0,13.7
Toumani Camara,POR,0.454,0.369,0.535,0.544,0.566,10.8,2.2,9.3,2.3,3.6,5.9,7.5,12.1,1.5,0.7,2.2,1.9,0.7,1.5,13.4,14.0,-0.6,0.087,0.7,12.0
Trae Young,ATL,0.406,0.328,0.474,0.482,0.56,24.1,11.4,46.2,0.5,2.7,3.2,1.4,8.4,1.2,0.2,1.5,0.4,-2.9,4.8,18.3,29.8,-0.2,0.084,1.0,17.6
Trayce Jackson-Davis,GSW,0.571,0.0,0.573,0.571,0.583,6.9,1.8,15.9,2.1,3.4,5.4,12.5,21.5,0.4,0.7,1.2,3.8,1.1,0.8,11.3,16.5,1.3,0.163,0.8,18.1
Trendon Watford,BRK,0.449,0.295,0.506,0.489,0.542,9.0,2.4,20.9,0.7,2.5,3.2,4.4,16.0,0.7,0.3,1.8,1.4,-0.5,1.7,17.3,23.7,-3.4,0.03,-0.2,12.5
Trey Lyles,SAC,0.409,0.342,0.529,0.519,0.539,6.1,1.1,7.7,1.1,3.4,4.5,6.4,21.1,0.6,0.4,1.6,1.9,-0.3,0.6,9.1,14.6,-1.0,0.085,0.3,12.1
Ty Jerome,CLE,0.504,0.427,0.557,0.592,0.631,11.9,3.3,23.6,0.7,1.8,2.5,4.1,9.8,1.2,0.0,2.8,0.1,0.9,1.3,12.0,23.2,3.7,0.197,1.8,20.2
Tyler Herro,MIA,0.46,0.367,0.559,0.554,0.592,23.5,5.7,27.6,0.4,4.9,5.3,1.3,15.1,0.9,0.2,1.2,0.7,-0.9,2.6,11.4,28.1,2.7,0.114,2.7,19.0
Vince Williams Jr.,MEM,0.394,0.254,0.56,0.463,0.492,6.8,1.9,13.2,0.9,2.7,3.6,5.2,15.3,0.6,0.2,1.6,1.2,0.0,1.4,16.9,18.1,-3.2,0.029,-0.1,8.9
Walker Kessler,UTA,0.698,0.176,0.723,0.702,0.69,11.5,1.6,7.8,4.7,7.8,12.5,16.7,27.4,0.6,2.4,0.9,7.6,0.8,1.5,15.2,13.5,2.3,0.168,1.7,20.8
Wendell Moore Jr.,DET,0.46,0.286,0.528,0.5,0.561,3.2,1.2,13.5,0.6,1.7,2.2,9.2,16.5,0.5,0.2,2.2,1.3,1.7,0.5,13.9,15.4,-0.1,0.119,0.1,12.4
Ziaire Williams,BRK,0.412,0.34,0.505,0.508,0.549,10.1,1.4,8.8,1.1,3.7,4.8,4.9,17.8,1.0,0.4,2.0,1.7,-0.2,1.0,10.0,18.1,-2.3,0.073,-0.1,12.2
