Player,ORtg,DRtg,NRtg,On-Off,WS,BPM,NRtg/A,PG%,SG%,SF%,PF%,C%,3PAr,FTr
A.J. Green,114.81,112.48,2.33,1.4,2.4,-2.3,2.0,19,81,1,0,0,0.858,0.067
Aaron Holiday,114.6,110.19,4.4,0.5,1.7,-0.5,4.8,100,0,0,0,0,0.655,0.182
Ajay Mitchell,119.87,107.2,12.67,-4.0,1.5,-1.2,12.64,12,49,30,9,1,0.307,0.199
Alec Burks,111.97,113.79,-1.82,8.5,1.3,-0.1,-1.85,9,56,33,2,0,0.729,0.232
Amir Coffey,113.87,110.64,3.23,-8.3,3.9,-1.9,3.27,0,16,63,21,1,0.483,0.239
Ariel Hukporti,118.57,114.62,3.94,-19.3,0.1,-5.6,3.25,0,0,0,8,92,0.0,0.419
Ben Simmons,113.87,110.64,3.23,3.5,1.8,-0.3,3.27,71,27,3,0,0,0.0,0.163
Bennedict Mathurin,116.18,114.94,1.24,0.5,2.3,-3.0,0.64,0,12,86,2,0,0.341,0.344
Bobby Portis,114.81,112.48,2.33,0.5,2.5,0.0,2.0,0,0,0,82,18,0.296,0.12
Branden Carlson,119.87,107.2,12.67,-4.6,0.5,2.2,12.64,0,0,0,0,100,0.791,0.093
Caleb Houstan,108.4,109.97,-1.57,-10.5,0.9,-4.0,-1.9,1,16,72,11,1,0.859,0.109
Cameron Payne,118.57,114.62,3.94,7.0,2.0,0.3,3.25,80,20,0,0,0,0.584,0.127
Chet Holmgren,119.87,107.2,12.67,3.6,2.3,3.5,12.64,0,0,0,30,70,0.346,0.397
Christian Braun,119.97,115.91,4.05,11.9,6.7,0.2,4.04,3,68,29,0,0,0.27,0.266
Clint Capela,113.42,115.31,-1.89,-1.4,3.2,-1.2,-2.0,0,0,0,0,100,0.003,0.249
Cory Joseph,108.4,109.97,-1.57,-1.0,0.6,-2.1,-1.9,77,23,0,0,0,0.659,0.099
D'Angelo Russell,115.12,113.75,1.36,2.0,2.1,-0.1,1.31,100,0,0,0,0,0.559,0.229
Daishen Nix,115.77,111.64,4.13,24.0,-0.1,-16.3,4.65,100,0,0,0,0,1.0,2.0
Daniel Gafford,115.61,116.04,-0.43,3.4,5.4,3.7,0.16,0,0,0,1,99,0.0,0.478
Dante Exum,115.61,116.04,-0.43,-8.4,0.7,-2.0,0.16,91,9,0,0,0,0.376,0.248
Dario Šarić,119.97,115.91,4.05,-15.4,0.0,-4.9,4.04,0,0,0,4,96,0.464,0.179
David Roddy,113.42,115.31,-1.89,-6.0,0.5,-1.0,-2.0,0,0,6,83,11,0.482,0.196
De'Anthony Melton,114.36,111.75,2.61,12.0,0.2,-0.8,2.98,52,38,10,0,0,0.648,0.148
Dean Wade,122.44,112.03,10.41,3.2,2.5,0.5,9.56,0,0,22,66,12,0.819,0.113
Doug McDermott,116.92,116.12,0.8,1.8,0.3,-4.5,0.71,0,3,55,41,1,0.857,0.055
Duncan Robinson,111.97,113.79,-1.82,4.0,2.1,-2.0,-1.85,1,32,56,11,0,0.729,0.081
Dwight Powell,115.61,116.04,-0.43,-3.0,1.4,0.4,0.16,0,0,0,1,100,0.043,0.804
Dyson Daniels,113.42,115.31,-1.89,1.5,4.0,1.2,-2.0,0,53,43,4,0,0.252,0.161
Fred VanVleet,114.6,110.19,4.4,3.3,4.6,1.3,4.8,92,9,0,0,0,0.603,0.166
Gabe Vincent,115.12,113.75,1.36,-2.4,1.0,-4.2,1.31,79,21,0,0,0,0.707,0.049
Garrison Mathews,113.42,115.31,-1.89,-2.4,1.5,-1.4,-2.0,6,73,21,0,0,0.849,0.314
Gary Harris,108.4,109.97,-1.57,4.4,0.7,-2.7,-1.9,9,65,24,2,0,0.76,0.1
Gary Payton II,114.36,111.75,2.61,6.7,2.8,1.5,2.98,23,73,4,0,0,0.325,0.142
Gary Trent Jr.,114.81,112.48,2.33,-3.3,2.6,-1.8,2.0,3,53,44,1,0,0.643,0.118
Gui Santos,114.36,111.75,2.61,9.8,1.4,-1.7,2.98,0,1,9,79,11,0.566,0.238
Haywood Highsmith,111.97,113.79,-1.82,2.8,2.5,-2.1,-1.85,0,1,53,46,0,0.584,0.118
Isaiah Jackson,116.18,114.94,1.24,5.2,0.3,0.6,0.64,0,0,0,0,100,0.0,0.609
Jabari Smith Jr.,114.6,110.19,4.4,2.2,3.4,-1.0,4.8,0,0,2,85,13,0.493,0.227
Jaden Ivey,114.35,112.05,2.3,-8.6,1.3,-0.1,1.66,7,76,18,0,0,0.373,0.281
Jae Crowder,116.92,116.12,0.8,-7.6,0.1,-4.4,0.71,0,0,75,25,0,0.706,0.353
Jae'Sean Tate,114.6,110.19,4.4,1.3,1.4,-1.1,4.8,3,43,51,3,0,0.281,0.333
Jahlil Okafor,116.18,114.94,1.24,79.2,0.0,7.5,0.64,0,0,0,0,100,,
Jalen Duren,114.35,112.05,2.3,-1.4,7.7,2.9,1.66,0,0,0,0,100,0.0,0.423
Jalen Williams,119.87,107.2,12.67,-6.9,6.9,4.0,12.64,0,8,57,34,1,0.298,0.246
Jaren Jackson Jr.,118.04,112.7,5.34,6.1,6.0,3.1,5.03,0,0,0,45,55,0.312,0.347
Javonte Green,122.44,112.03,10.41,-1.9,1.7,-2.0,9.56,16,49,34,1,0,0.496,0.289
Jaxson Hayes,115.12,113.75,1.36,7.4,3.0,0.4,1.31,0,0,0,1,99,0.012,0.463
Jaylin Williams,119.87,107.2,12.67,4.2,2.2,2.9,12.64,0,0,1,24,76,0.711,0.11
Jonathan Kuminga,114.36,111.75,2.61,-3.2,1.6,-0.1,2.98,0,0,9,57,34,0.262,0.422
Josh Minott,115.77,111.64,4.13,-11.6,0.5,0.1,4.65,0,6,60,34,0,0.449,0.167
Julius Randle,115.77,111.64,4.13,-0.9,5.0,1.0,4.65,0,0,0,94,6,0.326,0.385
Keegan Murray,116.92,116.12,0.8,2.4,3.6,-2.1,0.71,0,0,11,89,1,0.537,0.095
Keon Ellis,116.92,116.12,0.8,6.2,3.9,1.9,0.71,18,70,12,0,0,0.683,0.183
Keshad Johnson,111.97,113.79,-1.82,3.5,0.1,-3.4,-1.85,0,0,32,64,4,0.333,0.5
Kevon Looney,114.36,111.75,2.61,1.6,3.6,0.1,2.98,0,0,0,0,100,0.012,0.341
Kristaps Porziņģis,120.33,111.51,8.82,-7.0,4.2,4.4,8.35,0,0,0,11,89,0.435,0.341
Kyrie Irving,115.61,116.04,-0.43,5.7,4.8,3.4,0.16,29,66,5,0,0,0.38,0.226
Landry Shamet,118.57,114.62,3.94,2.6,0.5,-2.8,3.25,0,54,45,1,0,0.567,0.075
Larry Nance Jr.,113.42,115.31,-1.89,-7.9,1.3,1.6,-2.0,0,0,0,32,68,0.49,0.084
Luka Garza,115.77,111.64,4.13,-4.3,0.5,-3.9,4.65,0,0,0,28,73,0.357,0.316
Luke Kennard,118.04,112.7,5.34,-1.1,3.5,1.7,5.03,39,50,11,1,0,0.608,0.137
Luke Kornet,120.33,111.51,8.82,4.8,5.3,3.0,8.35,0,0,0,0,100,0.01,0.404
Malevy Leons,119.87,107.2,12.67,-55.4,0.0,-12.4,12.64,0,0,0,100,0,0.5,2.0
Malik Beasley,114.35,112.05,2.3,1.4,4.2,1.1,1.66,17,74,9,0,0,0.718,0.125
Markelle Fultz,116.92,116.12,0.8,5.4,-0.2,-10.1,0.71,79,21,0,0,0,0.129,0.032
Matt Ryan,118.57,114.62,3.94,-32.2,-0.1,-7.5,3.25,0,15,57,28,0,0.613,0.065
Mitchell Robinson,118.57,114.62,3.94,11.6,0.5,2.1,3.25,0,0,0,15,86,0.0,0.192
Moritz Wagner,108.4,109.97,-1.57,-1.3,2.0,3.9,-1.9,0,0,0,4,96,0.301,0.442
Moses Brown,115.61,116.04,-0.43,-3.5,0.4,0.1,0.16,0,0,0,0,100,0.0,0.224
Myles Turner,116.18,114.94,1.24,4.7,3.4,-0.2,0.64,0,0,0,0,100,0.476,0.274
Naz Reid,115.77,111.64,4.13,6.0,5.0,1.8,4.65,0,0,0,41,59,0.5,0.158
Nickeil Alexander-Walker,115.77,111.64,4.13,3.9,3.3,-0.8,4.65,26,60,14,0,0,0.6,0.163
Nikola Jović,111.97,113.79,-1.82,0.5,2.4,0.0,-1.85,0,0,3,90,7,0.557,0.231
Norman Powell,113.87,110.64,3.23,6.1,4.5,2.5,3.27,11,53,36,1,0,0.459,0.288
Orlando Robinson,116.92,116.12,0.8,-3.4,0.7,-2.9,0.71,0,0,0,3,97,0.176,0.307
Ousmane Dieng,119.87,107.2,12.67,-7.7,0.9,-1.1,12.64,0,0,1,28,71,0.568,0.128
P.J. Washington,115.61,116.04,-0.43,7.0,2.1,-0.8,0.16,0,0,10,81,9,0.357,0.282
PJ Dozier,115.77,111.64,4.13,-6.9,0.1,0.6,4.65,0,100,0,0,0,1.0,2.0
Paolo Banchero,108.4,109.97,-1.57,-4.0,2.5,3.4,-1.9,0,0,0,88,12,0.304,0.432
Pat Connaughton,114.81,112.48,2.33,-4.5,0.7,-2.4,2.0,1,32,56,11,0,0.53,0.162
Paul Reed,114.35,112.05,2.3,6.8,1.6,4.9,1.66,0,0,0,3,97,0.193,0.298
Peyton Watson,119.97,115.91,4.05,-4.3,2.1,-1.5,4.04,0,5,66,30,0,0.327,0.336
Precious Achiuwa,118.57,114.62,3.94,-7.6,2.2,-1.2,3.25,0,0,0,52,48,0.128,0.217
Quinten Post,114.36,111.75,2.61,-0.6,1.4,1.2,2.98,0,0,0,1,99,0.621,0.092
Rui Hachimura,115.12,113.75,1.36,5.0,3.7,-0.8,1.31,0,0,1,81,19,0.41,0.196
Ryan Rollins,114.81,112.48,2.33,6.4,0.8,-0.8,2.0,87,13,0,0,0,0.43,0.145
Sam Merrill,122.44,112.03,10.41,3.1,2.6,-0.1,9.56,11,80,9,0,0,0.868,0.083
Santi Aldama,118.04,112.7,5.34,4.3,4.4,3.8,5.03,0,0,7,66,27,0.474,0.13
Simone Fontecchio,114.35,112.05,2.3,-4.4,1.6,-2.6,1.66,0,0,24,75,1,0.604,0.24
Spencer Dinwiddie,115.61,116.04,-0.43,-6.1,2.8,-1.9,0.16,82,18,1,0,0,0.486,0.348
Steven Adams,114.6,110.19,4.4,2.0,1.7,0.4,4.8,0,0,0,0,100,0.007,0.582
Tari Eason,114.6,110.19,4.4,4.9,4.3,3.9,4.8,0,2,23,69,6,0.334,0.197
Taurean Prince,114.81,112.48,2.33,-4.8,2.9,-1.8,2.0,0,13,72,14,0,0.653,0.084
Terry Rozier,111.97,113.79,-1.82,-5.3,0.8,-3.7,-1.85,100,0,0,0,0,0.482,0.173
Tim Hardaway Jr.,114.35,112.05,2.3,-3.8,2.8,-2.5,1.66,0,42,56,2,0,0.677,0.206
Tobias Harris,114.35,112.05,2.3,8.1,4.8,-0.2,1.66,0,0,0,98,2,0.327,0.208
Torrey Craig,120.33,111.51,8.82,-9.7,0.7,0.7,8.35,0,13,24,61,3,0.754,0.145
Trey Lyles,116.92,116.12,0.8,-5.4,1.8,-1.0,0.71,0,0,0,53,48,0.643,0.196
Tristan Thompson,122.44,112.03,10.41,-23.6,0.3,-4.7,9.56,0,0,0,0,100,0.056,0.407
Ty Jerome,122.44,112.03,10.41,0.3,5.1,3.7,9.56,4,50,46,0,0,0.412,0.253
Vlatko Čančar,119.97,115.91,4.05,-4.9,0.0,-7.1,4.04,0,0,2,50,48,0.417,0.0
Wendell Moore Jr.,114.35,112.05,2.3,-7.1,0.7,-1.8,1.66,1,33,48,18,0,0.292,0.229
Xavier Tillman Sr.,120.33,111.51,8.82,-10.1,-0.2,-7.7,8.35,0,0,1,71,28,0.587,0.043
