Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,-9999
147,Al Horford,38,BOS,C,53,37,1459,0,0,0,60,40,11.3,5.3,27,4,50,5,13,0,296,2,6,,horfoal01
148,Wendell Carter Jr.,25,ORL,C,56,39,1452,0,0,0,18,82,-1.3,1.2,21,23,85,20,71,9,280,14,26,,cartewe01
149,Jabari Smith Jr.,21,HOU,PF,47,39,1451,0,0,2,85,13,5.5,2.2,23,20,57,6,47,2,123,9,24,,smithja05
150,Haywood Highsmith,28,MIA,SF,60,40,1443,0,1,53,46,0,-0.1,2.8,16,13,59,4,14,7,202,4,13,,highsha01
151,De'Andre Hunter,27,2TM,SF,52,8,1435,0,0,44,56,0,2.0,0.8,24,29,58,6,86,14,178,16,35,,huntede01
151,De'Andre Hunter,27,ATL,SF,37,4,1064,0,0,51,49,0,-2.6,-0.7,22,26,40,3,63,11,137,15,28,,huntede01
151,De'Andre Hunter,27,CLE,SF,15,4,371,0,0,25,74,1,15.2,4.9,2,3,18,3,23,3,41,1,7,,huntede01
152,Dorian Finney-Smith,31,2TM,PF,50,34,1419,0,4,38,56,2,8.5,12.8,24,7,56,3,13,2,168,3,22,,finnedo01
152,Dorian Finney-Smith,31,BRK,PF,20,20,579,0,9,57,33,1,3.0,11.5,11,3,28,2,7,2,75,2,9,,finnedo01
152,Dorian Finney-Smith,31,LAL,PF,30,14,840,0,1,25,71,3,12.4,13.7,13,4,28,1,6,0,93,1,13,,finnedo01
153,LaMelo Ball,23,CHO,PG,44,44,1414,87,12,0,0,0,-5.1,5.8,82,35,45,18,90,9,768,17,41,,ballla01
154,Miles McBride,24,NYK,PG,57,6,1404,17,83,0,0,0,8.7,7.1,19,11,40,2,24,13,397,4,26,,mcbrimi01
155,Alex Sarr,19,WAS,C,52,52,1401,0,0,0,4,96,-13.7,-3.8,30,29,77,11,57,1,293,8,30,,sarral01
156,Ayo Dosunmu,25,CHI,SG,46,26,1394,10,56,30,4,0,-7.1,-7.4,41,17,52,2,34,3,509,10,34,,dosunay01
157,A.J. Green,25,MIL,SG,61,6,1368,19,81,1,0,0,2.6,1.4,15,8,81,6,6,16,228,2,3,,greenaj01
158,Scotty Pippen Jr.,24,MEM,PG,67,17,1367,81,19,0,0,0,4.1,-2.9,66,23,69,11,67,28,697,21,34,,pippesc02
159,D'Angelo Russell,28,2TM,PG,53,31,1360,100,0,0,0,0,0.0,2.0,61,22,50,11,57,10,656,11,14,,russeda01
159,D'Angelo Russell,28,LAL,PG,29,10,763,100,0,0,0,0,2.5,0.3,29,9,24,9,23,8,321,4,9,,russeda01
159,D'Angelo Russell,28,BRK,PG,24,21,597,99,1,0,0,0,-3.1,4.1,32,13,26,2,34,2,335,7,5,,russeda01
160,Donte DiVincenzo,28,MIN,SG,51,10,1358,69,31,0,0,0,5.9,2.6,53,20,44,3,19,16,456,2,20,,divindo01
161,Julian Strawther,22,DEN,SG,61,4,1351,0,41,58,1,0,-1.6,-10.2,22,17,84,12,33,6,199,7,19,,strawju01
162,Ziaire Williams,23,BRK,SF,54,36,1334,1,18,66,15,1,-8.3,-3.0,29,15,66,3,41,16,180,4,38,,willizi02
163,Paul George,34,PHI,PF,41,41,1334,0,0,9,89,2,-3.6,2.5,59,29,42,12,44,7,435,11,20,,georgpa01
164,Isaiah Hartenstein,26,OKC,C,47,44,1331,0,0,0,0,100,12.8,0.0,39,19,72,16,48,2,420,10,28,,harteis01
165,Santi Aldama,24,MEM,PF,53,13,1325,0,0,7,66,27,8.4,4.3,32,14,35,3,33,7,364,10,21,,aldamsa01
166,Peyton Watson,22,DEN,SF,56,13,1320,0,5,66,30,0,1.8,-4.3,20,17,62,7,54,4,187,11,33,,watsope01
167,Grayson Allen,29,PHO,SG,53,3,1317,36,64,0,0,0,-1.1,0.0,35,14,41,7,37,8,280,6,16,,allengr01
168,Dalton Knecht,23,LAL,SF,64,14,1316,0,36,54,10,0,-2.3,-7.6,15,8,55,7,30,1,140,4,21,,knechda01
169,Jonas Valančiūnas,32,2TM,C,66,18,1315,0,0,0,0,100,-11.3,-4.4,40,31,79,30,67,1,350,13,34,,valanjo01
169,Jonas Valančiūnas,32,WAS,C,49,12,983,0,0,0,0,100,-16.5,-7.1,37,25,49,21,50,1,258,10,24,,valanjo01
169,Jonas Valančiūnas,32,SAC,C,17,6,332,0,0,0,0,100,4.2,3.5,3,6,30,9,17,0,92,3,10,,valanjo01
170,Moses Moody,22,GSW,SG,61,21,1311,15,49,31,6,0,5.2,3.9,16,14,41,3,52,6,189,7,27,,moodymo01
171,Jimmy Butler,35,2TM,SF,42,42,1311,0,1,39,60,0,6.2,7.5,35,14,24,5,132,4,587,29,41,,butleji01
171,Jimmy Butler,35,MIA,PF,25,25,766,0,0,26,75,0,3.1,6.2,22,4,12,2,71,4,316,15,22,,butleji01
171,Jimmy Butler,35,GSW,SF,17,17,545,0,2,58,40,0,10.6,9.2,13,10,12,3,61,0,271,14,19,,butleji01
172,Luka Dončić,25,2TM,PG,37,37,1303,61,36,4,0,0,9.0,10.7,91,38,45,2,132,12,704,33,23,,doncilu01
172,Luka Dončić,25,DAL,PG,22,22,785,73,27,0,0,0,9.2,12.7,51,18,26,1,69,8,413,21,11,,doncilu01
172,Luka Dončić,25,LAL,PG,15,15,518,42,49,9,0,0,8.7,7.8,40,20,19,1,63,4,291,12,12,,doncilu01
173,Brandin Podziemski,21,GSW,SG,51,20,1299,5,43,45,7,0,6.7,6.3,31,15,30,2,32,27,429,7,21,,podzibr01
174,Caris LeVert,30,2TM,SG,52,3,1294,4,18,70,8,0,8.2,1.7,41,16,35,1,52,3,429,11,19,,leverca01
174,Caris LeVert,30,CLE,SF,38,3,904,0,6,84,10,0,12.2,1.9,33,15,21,1,34,1,344,6,15,,leverca01
174,Caris LeVert,30,ATL,SG,14,0,390,12,47,38,4,0,-0.9,1.4,8,1,14,0,18,2,85,5,4,,leverca01
175,Ja Morant,25,MEM,PG,43,43,1291,100,0,0,0,0,7.3,2.3,106,40,41,1,134,16,756,31,46,,moranja01
176,Kevin Huerter,26,2TM,SG,57,19,1288,0,44,51,5,0,0.0,-0.6,40,12,63,1,20,7,253,3,12,,huertke01
176,Kevin Huerter,26,SAC,SG,43,15,899,0,53,45,2,0,-3.7,-6.6,27,9,48,1,13,4,176,1,6,,huertke01
176,Kevin Huerter,26,CHI,SG,14,4,389,0,25,65,10,0,8.7,13.1,13,3,15,0,7,3,77,2,6,,huertke01
177,Jalen Johnson,23,ATL,SF,36,36,1284,0,0,9,91,0,1.4,5.7,66,15,34,11,64,5,426,18,39,,johnsja05
178,Isaiah Joe,25,OKC,SG,61,12,1281,33,67,0,0,0,14.6,3.0,12,14,48,0,15,30,227,4,16,,joeis01
179,Jake LaRavia,23,2TM,PF,62,0,1261,0,1,48,48,3,6.7,3.0,39,23,60,9,47,7,376,6,25,,laravja01
179,Jake LaRavia,23,MEM,PF,47,0,982,0,2,56,41,2,9.7,5.4,31,18,43,8,42,5,329,6,21,,laravja01
179,Jake LaRavia,23,SAC,PF,15,0,279,0,0,21,73,7,-4.0,-5.5,8,5,17,1,5,2,47,0,4,,laravja01
180,Patrick Williams,23,CHI,PF,49,35,1257,0,0,1,96,3,-6.7,-6.2,27,20,37,6,33,1,241,6,32,,willipa01
181,Obi Toppin,26,IND,PF,64,1,1248,0,0,0,63,38,-4.3,-9.0,26,15,49,7,41,1,227,9,19,,toppiob01
182,Isaiah Stewart,23,DET,C,63,3,1242,0,0,0,1,99,0.7,-2.7,17,11,74,22,36,3,265,10,11,,stewais01
183,Goga Bitadze,25,ORL,C,58,41,1237,0,0,0,0,100,0.9,4.5,19,13,63,18,47,4,273,9,23,,bitadgo01
184,Ty Jerome,27,CLE,SG,63,2,1236,4,50,46,0,0,11.0,0.3,35,32,31,4,68,2,500,19,27,,jeromty01
185,Gabe Vincent,28,LAL,PG,58,10,1232,79,21,0,0,0,0.8,-2.4,23,3,69,6,4,16,204,0,8,,vincega01
186,Sam Hauser,27,BOS,PF,59,15,1231,0,0,33,65,3,9.7,2.2,12,6,35,0,3,3,137,2,3,,hausesa01
187,Jaime Jaquez Jr.,23,MIA,SF,56,14,1220,2,32,56,10,0,-6.7,-8.1,37,32,48,5,67,1,353,16,53,,jaqueja01
188,Luke Kennard,28,MEM,SG,54,10,1220,39,50,11,1,0,5.1,-1.1,40,16,22,3,14,0,443,4,10,,kennalu01
189,John Collins,27,UTA,PF,40,31,1220,0,0,43,55,3,-0.3,11.4,36,34,60,21,83,3,198,23,54,,collijo01
190,Nicolas Batum,36,LAC,PF,67,8,1208,0,0,0,74,25,4.6,2.5,20,2,51,5,7,2,190,1,5,,batumni01
191,Deandre Ayton,26,POR,C,40,40,1206,0,0,0,0,100,-6.8,-4.5,21,25,56,10,26,2,159,7,15,,aytonde01
192,Mason Plumlee,34,PHO,C,68,20,1205,0,0,0,1,99,1.3,3.7,17,14,90,16,51,3,284,7,26,,plumlma01
193,Brandon Clarke,28,MEM,PF,63,18,1201,0,2,38,54,7,8.8,4.6,14,13,87,8,51,6,160,23,22,,clarkbr01
194,Paolo Banchero,22,ORL,PF,35,35,1195,0,0,0,88,12,-4.5,-4.0,50,40,47,7,149,3,404,34,37,,banchpa01
195,Jordan Hawkins,22,NOP,SG,51,7,1189,7,50,38,5,0,-12.8,-5.9,21,20,27,1,28,5,140,4,24,,hawkijo01
196,Jeremy Sochan,21,SAS,PF,47,19,1183,0,0,0,65,35,-2.6,0.3,31,21,40,14,54,3,274,16,39,,sochaje01
197,Clint Capela,30,ATL,C,55,41,1176,0,0,0,0,100,-3.1,-1.4,17,9,59,10,49,10,146,11,36,,capelca01
198,Tari Eason,23,HOU,PF,46,12,1162,0,2,23,69,6,7.5,4.9,20,12,53,8,43,1,149,10,39,,easonta01
199,Kevin Porter Jr.,24,2TM,SG,62,2,1161,22,57,19,2,0,-0.2,-4.1,57,37,42,10,55,7,473,10,38,,porteke02
199,Kevin Porter Jr.,24,LAC,SG,45,2,884,22,55,22,2,0,-1.4,-5.9,39,30,33,7,34,4,348,6,28,,porteke02
199,Kevin Porter Jr.,24,MIL,SG,17,0,277,23,64,13,0,0,3.4,1.9,18,7,9,3,21,3,125,4,10,,porteke02
200,Bobby Portis,29,MIL,PF,46,7,1160,0,0,0,82,18,2.0,0.5,22,14,52,8,31,2,258,9,29,,portibo01
201,Kyle Filipowski,21,UTA,C,59,15,1158,0,0,0,16,84,-7.8,-0.3,35,22,77,11,55,3,280,15,28,,filipky01
202,T.J. McConnell,32,IND,PG,64,0,1157,100,0,0,0,0,-1.6,-4.4,57,30,37,0,26,24,698,5,36,,mccontj01
203,Nikola Jović,21,MIA,PF,46,10,1156,0,0,3,90,7,-1.3,0.5,29,14,47,7,43,3,316,10,12,,jovicni01
204,Jamal Shead,22,TOR,PG,63,4,1149,100,0,0,0,0,-9.8,-7.0,67,12,64,6,22,26,578,10,18,,sheadja01
205,Javonte Green,31,2TM,SG,56,18,1142,16,49,34,1,0,-9.4,-1.9,14,8,51,4,38,4,113,12,13,,greenja02
205,Javonte Green,31,NOP,SG,50,18,1092,17,48,35,1,0,-10.3,-1.9,14,7,48,4,36,3,104,11,13,,greenja02
205,Javonte Green,31,CLE,SG,6,0,50,0,84,16,0,0,9.5,-1.3,0,1,3,0,2,1,9,1,0,,greenja02
206,Sam Merrill,28,CLE,SG,59,2,1136,11,80,9,0,0,12.9,3.1,15,3,52,5,5,16,199,0,11,,merrisa01
207,Cole Anthony,24,ORL,PG,61,22,1135,100,0,0,0,0,-2.0,-0.2,59,25,64,3,47,10,418,12,13,,anthoco01
208,Matas Buzelis,20,CHI,SF,66,17,1131,0,0,16,77,7,-3.4,-0.8,14,23,83,3,36,4,138,5,23,,buzelma01
209,Zach Edey,22,MEM,C,54,46,1127,0,0,0,0,100,4.9,-1.5,22,18,83,17,48,1,120,18,30,,edeyza01
210,Terance Mann,28,2TM,SG,54,12,1124,9,46,43,3,0,-5.7,-8.5,19,14,43,4,26,5,238,5,26,,mannte01
210,Terance Mann,28,LAC,SG,37,12,732,2,39,55,4,0,-4.3,-9.3,9,11,28,4,15,4,138,2,18,,mannte01
210,Terance Mann,28,ATL,SG,17,0,392,22,59,19,0,0,-8.3,-7.0,10,3,15,0,11,1,100,3,8,,mannte01
211,Daniel Gafford,26,DAL,C,51,28,1115,0,0,0,1,99,1.8,3.4,15,20,80,18,81,4,171,25,29,,gaffoda01
212,Luke Kornet,29,BOS,C,61,12,1095,0,0,0,0,100,11.6,4.8,11,6,67,8,41,5,255,8,17,,kornelu01
213,Brice Sensabaugh,21,UTA,SF,58,8,1092,0,2,62,35,1,-11.3,-5.6,51,18,42,5,28,1,188,11,19,,sensabr01
214,Tyrese Martin,25,BRK,SG,51,7,1087,18,53,27,2,0,-10.1,-5.3,39,14,22,1,23,3,222,2,12,,martity01
215,Aaron Gordon,29,DEN,PF,40,31,1087,0,0,0,92,8,10.3,8.7,31,13,39,5,67,6,281,15,32,,gordoaa01
216,Nick Smith Jr.,20,CHO,SG,49,24,1082,15,73,12,0,0,-13.8,-8.3,39,21,33,2,10,3,249,3,16,,smithni01
217,Jose Alvarado,26,NOP,PG,45,12,1074,100,0,0,0,0,-6.9,3.1,37,9,25,1,20,15,476,4,17,,alvarjo01
218,Ben Sheppard,23,IND,SG,53,9,1066,2,81,17,0,0,-1.5,-4.1,9,5,78,1,9,11,163,3,12,,sheppbe01
219,Ron Holland,19,DET,SF,69,1,1065,0,2,75,23,0,-1.9,-6.4,22,20,58,8,55,7,158,12,17,,hollaro01
220,Ryan Dunn,22,PHO,SF,61,31,1064,0,0,51,48,1,-0.2,1.4,12,6,74,7,14,3,123,0,19,,dunnry01
221,Moussa Diabaté,23,CHO,C,59,8,1062,0,0,0,3,97,-2.5,8.5,21,15,42,7,37,5,129,9,19,,diabamo01
222,Simone Fontecchio,29,DET,SF,62,0,1053,0,0,24,75,1,-0.5,-4.4,23,18,45,2,33,7,150,8,13,,fontesi01
223,Nick Richards,27,2TM,C,48,35,1049,0,0,0,0,100,-7.0,-3.4,18,24,71,19,70,7,111,15,41,,richani01
223,Nick Richards,27,CHO,C,21,9,440,0,0,0,0,100,-9.3,-1.1,10,12,27,7,40,5,67,9,19,,richani01
223,Nick Richards,27,PHO,C,27,26,609,0,0,0,0,100,-5.3,-5.1,8,12,44,12,30,2,44,6,22,,richani01
224,Bogdan Bogdanović,32,2TM,SG,41,4,1047,8,59,31,3,0,-0.5,-0.7,36,12,43,9,22,8,242,5,9,,bogdabo01
224,Bogdan Bogdanović,32,ATL,SG,24,0,598,4,76,19,1,0,-3.9,-2.2,26,4,27,5,14,6,116,3,5,,bogdabo01
224,Bogdan Bogdanović,32,LAC,SG,17,4,449,13,35,47,5,0,4.0,1.2,10,8,16,4,8,2,126,2,4,,bogdabo01
225,Caleb Martin,29,2TM,SF,36,24,1039,0,38,54,8,0,-6.0,-1.8,10,23,29,5,32,14,201,6,12,,martica02
225,Caleb Martin,29,PHI,SF,31,24,943,0,40,55,5,0,-6.3,-1.6,8,22,23,5,28,11,172,4,11,,martica02
225,Caleb Martin,29,DAL,SF,5,0,96,0,13,54,33,0,-3.9,-3.6,2,1,6,0,4,3,29,2,1,,martica02
226,Kel'el Ware,20,MIA,C,50,22,1032,0,0,0,0,100,-1.1,0.8,20,10,66,8,27,2,107,7,15,,wareke01
227,Dean Wade,28,CLE,PF,48,26,1032,0,0,22,66,12,13.1,3.2,6,6,50,4,10,5,166,6,9,,wadede01
228,Ausar Thompson,22,DET,SF,47,36,1012,0,2,83,15,0,5.5,4.4,34,22,44,7,45,19,252,6,30,,thompau01
229,Dejounte Murray,28,NOP,PG,31,31,1012,22,76,2,0,0,-10.0,-1.5,62,36,21,3,56,1,543,11,20,,murrade01
230,Trey Lyles,29,SAC,PF,55,2,1003,0,0,0,53,48,-2.7,-5.4,16,9,42,4,27,11,144,4,10,,lylestr01
231,Jalen Suggs,23,ORL,PG,35,35,1002,91,9,0,0,0,0.4,3.3,55,28,43,8,43,20,296,10,17,,suggsja01
232,Donovan Clingan,20,POR,C,55,25,1001,0,0,0,0,100,-2.2,2.5,24,14,107,20,42,1,141,9,17,,clingdo01
233,Cody Martin,29,2TM,SF,41,8,995,0,27,63,10,0,-0.6,10.1,22,15,39,0,20,11,242,1,11,,martico01
233,Cody Martin,29,CHO,SF,39,8,967,0,26,64,10,1,-2.1,8.8,21,15,34,0,19,10,227,0,9,,martico01
233,Cody Martin,29,PHO,SF,2,0,28,0,42,59,0,0,52.6,54.2,1,0,5,0,1,1,15,1,2,,martico01
234,Brandon Boston Jr.,23,NOP,SG,42,10,993,1,41,48,9,0,-7.5,2.2,27,17,33,5,39,8,230,3,24,,bostobr01
235,Kristaps Porziņģis,29,BOS,C,34,34,987,0,0,0,11,89,3.4,-7.0,13,10,51,14,71,1,171,13,21,,porzikr01
236,Max Strus,28,CLE,SF,39,26,978,0,22,68,10,0,9.9,-1.4,20,10,45,1,7,11,277,2,8,,strusma01
237,Ben Simmons,28,2TM,PG,41,24,976,71,27,3,0,0,-2.4,3.5,57,15,42,11,17,11,655,5,9,,simmobe01
237,Ben Simmons,28,BRK,PG,33,24,825,76,24,0,0,0,-3.5,4.0,54,15,33,11,13,9,571,4,8,,simmobe01
237,Ben Simmons,28,LAC,PG,8,0,151,43,41,17,0,0,3.8,0.9,3,0,9,0,4,2,84,1,1,,simmobe01
238,Kevon Looney,28,GSW,C,63,6,971,0,0,0,0,100,4.0,1.6,12,9,76,14,38,3,259,11,17,,looneke01
239,Jonathan Isaac,27,ORL,PF,60,0,949,0,0,7,81,12,-3.9,-2.7,10,7,49,8,35,1,70,7,12,,isaacjo01
240,Johnny Juzang,23,UTA,SG,51,12,941,1,35,60,5,0,-10.7,-4.4,9,10,66,3,18,4,117,6,11,,juzanjo01
241,Jarace Walker,21,IND,PF,60,3,940,0,0,21,68,10,-7.7,-12.6,39,17,49,4,29,3,196,8,9,,walkeja02
242,Noah Clowney,20,BRK,PF,41,18,928,0,0,6,66,28,-14.3,-10.8,13,12,51,7,33,11,86,5,24,,clownno01
243,Julian Phillips,21,CHI,SF,66,3,927,0,0,23,76,1,-1.2,2.3,7,8,47,1,33,4,82,10,14,,phillju01
244,Justin Champagnie,23,WAS,SF,48,18,927,0,7,52,42,0,-7.1,6.3,20,10,43,3,23,4,110,8,18,,champju01
245,Precious Achiuwa,25,NYK,C,44,8,927,0,0,0,52,48,-0.8,-7.6,10,11,43,8,28,1,104,7,19,,achiupr01
246,Jonathan Kuminga,22,GSW,PF,36,10,924,0,0,9,57,34,0.5,-3.2,26,19,32,7,93,4,206,7,42,,kuminjo01
247,Brandon Miller,22,CHO,SF,27,27,924,0,0,74,23,3,-7.0,1.8,32,26,27,12,34,4,237,6,21,,millebr02
248,Trayce Jackson-Davis,24,GSW,C,54,37,921,0,0,0,0,100,-3.1,-8.2,16,9,42,14,51,0,256,14,41,,jackstr02
249,Jeremiah Robinson-Earl,24,NOP,PF,53,6,921,0,0,1,77,22,-12.7,-5.1,18,10,36,2,20,2,150,4,11,,robinje02
250,Jordan Clarkson,32,UTA,SG,35,9,920,3,78,19,0,0,-11.1,-4.9,34,30,24,6,55,2,318,12,37,,clarkjo01
251,Vit Krejci,24,ATL,PG,44,15,917,36,63,1,0,0,-3.3,-1.6,25,11,40,0,17,4,278,3,8,,krejcvi01
252,Cody Williams,20,UTA,SG,44,15,916,3,36,60,2,0,-13.1,-7.7,14,19,44,3,20,2,137,4,15,,willico04
253,Tidjane Salaün,19,CHO,PF,48,8,915,0,0,0,87,13,-12.8,-6.2,13,16,32,9,27,3,126,4,21,,salauti01
254,Ricky Council IV,23,PHI,SF,59,7,914,0,13,64,23,0,-2.9,3.1,12,8,22,7,50,2,163,9,19,,councri01
255,Andre Jackson Jr.,23,MIL,SG,59,43,908,0,69,26,5,0,-0.7,-3.3,32,7,49,9,10,7,194,2,6,,jacksan01
256,Jonathan Mogbo,23,TOR,PF,50,12,904,0,0,0,38,62,-10.9,-7.9,18,12,55,8,35,4,193,10,20,,mogbojo01
257,Mark Williams,23,CHO,C,35,32,902,0,0,0,0,100,-13.0,-6.5,15,18,49,9,76,3,221,23,21,,willima07
258,Jaden Ivey,22,DET,SG,30,30,898,7,76,18,0,0,-3.9,-8.6,42,28,23,9,56,7,294,13,26,,iveyja01
259,Ja'Kobe Walter,20,TOR,SG,44,11,879,18,72,11,0,0,-4.0,1.6,16,13,49,2,36,5,133,10,32,,walteja01
260,Cameron Payne,30,NYK,PG,61,1,870,80,20,0,0,0,9.7,7.0,19,13,44,4,20,9,385,5,8,,payneca01
261,Jalen Smith,24,CHI,C,57,1,869,0,0,0,1,99,-2.7,0.2,12,6,54,12,38,7,132,10,13,,smithja04
262,Chris Boucher,32,TOR,PF,50,0,862,0,0,3,91,7,-0.6,6.0,10,10,42,6,42,4,79,9,19,,bouchch01
263,Day'Ron Sharpe,23,BRK,C,47,2,844,0,0,0,0,100,1.6,10.9,20,15,44,19,33,2,196,8,26,,sharpda01
264,Alex Caruso,30,OKC,SG,44,1,844,27,51,23,0,0,14.9,2.8,21,6,39,3,18,15,272,8,12,,carusal01
265,Tre Jones,25,2TM,PG,44,7,840,91,9,0,0,0,-2.9,0.0,18,10,23,2,26,10,442,10,16,,jonestr01
265,Tre Jones,25,SAS,PG,28,0,450,83,17,0,0,0,0.0,3.2,15,4,15,1,12,5,265,6,4,,jonestr01
265,Tre Jones,25,CHI,PG,16,7,390,100,0,0,0,0,-6.1,-3.7,3,6,8,1,14,5,177,4,12,,jonestr01
266,Seth Curry,34,CHO,SG,57,10,839,16,78,7,0,0,-8.1,0.2,12,9,22,1,9,5,100,2,5,,curryse01
267,Justin Edwards,21,PHI,SF,34,16,838,0,40,49,11,0,-11.2,-8.1,11,15,48,1,10,4,113,1,18,,edwarju01
268,Gary Payton II,32,GSW,SG,56,10,829,23,73,4,0,0,7.9,6.7,15,4,32,11,19,2,184,10,17,,paytoga02
269,Kenrich Williams,30,OKC,PF,55,4,828,0,0,9,57,34,16.6,5.0,11,12,45,1,12,13,166,4,17,,willike04
270,Zion Williamson,24,NOP,PF,29,29,827,0,0,29,62,8,-3.7,7.0,33,33,38,17,128,0,387,34,61,,willizi01
271,Jaxson Hayes,24,LAL,C,42,21,823,0,0,0,1,99,7.8,7.4,14,4,65,12,34,4,126,9,8,,hayesja02
272,Kris Murray,24,POR,SF,57,3,811,0,12,69,19,0,-1.7,3.0,14,12,24,3,22,3,123,4,14,,murrakr01
273,Dalano Banton,25,POR,PG,54,0,809,66,34,0,0,0,-1.5,3.2,33,20,25,3,46,2,273,11,26,,bantoda01
274,Jusuf Nurkić,30,2TM,C,38,27,805,0,0,0,0,100,-7.8,-5.7,34,18,56,22,46,2,188,9,13,,nurkiju01
274,Jusuf Nurkić,30,PHO,C,25,23,592,0,0,0,0,100,-5.9,-5.8,27,13,43,17,33,2,112,6,11,,nurkiju01
274,Jusuf Nurkić,30,CHO,C,13,4,213,0,0,0,0,100,-13.2,-5.3,7,5,13,5,13,0,76,3,2,,nurkiju01
275,Isaac Okoro,24,CLE,SG,42,20,793,0,25,70,6,0,15.4,6.0,7,5,44,5,13,5,138,1,17,,okorois01
276,Garrison Mathews,28,ATL,SG,45,2,786,6,73,21,0,0,-4.0,-2.4,15,6,39,2,31,15,132,6,4,,mathega01
277,Khris Middleton,33,2TM,SF,34,18,785,0,0,51,48,1,3.4,6.7,30,18,28,2,31,5,342,9,12,,middlkh01
277,Khris Middleton,33,MIL,SF,23,7,534,0,0,75,25,0,4.8,3.7,21,14,20,1,16,1,241,4,7,,middlkh01
277,Khris Middleton,33,WAS,SF,11,11,251,0,0,1,96,3,0.5,13.1,9,4,8,1,15,4,101,5,5,,middlkh01
278,KJ Martin,24,2TM,PF,37,15,785,0,3,43,51,3,-4.7,1.9,11,9,56,1,24,1,92,7,17,,martike04
