Player,Team,Player Fit Score,Trade Value Score,Net Rating Impact,Salary Cap Impact Score,On-Off Impact,Team,eFG%,TS%,USG%,AST%,TOV%,STL%,BLK%,ORtg,DRtg,NRtg,Value_per_Dollar,Cap_Impact_Score,2024-25_Payroll,2025-26_Payroll,KMeans_Cluster,Hierarchical_Cluster,GMM_Cluster
A.J. Green,MIL,4.8987781258529306e-08,2.39,-2.785088395279658,0.108144598340233,-2.796741484799663,MIL,0.0491170208333333,0.0571839164999999,-0.1916238353333333,-0.1978918338333333,-0.2653581708333333,-0.1671434039999999,-0.4567749766666666,114.96999999999998,112.57,2.39,2.9392668755117586e-07,0.648867590041398,1095601206,988680726,4,4,2
Alec Burks,MIA,-5.3087177179745154e-08,-1.85,3.6078963519479568,-0.0303048318730319,3.627398494390917,MIA,0.069023663,0.222853296,-0.512764176,-0.504149417,-0.907154677,0.003556243,-0.668479248,111.86,113.72,-1.85,-5.3087177179745154e-08,-0.0303048318730319,173088172,178497509,0,5,4
Amir Coffey,LAC,7.05201419344874e-08,3.47,-7.885411007028433,-0.0056758137116967,-7.88541100702843,LAC,0.200407503,0.623427021,-0.440053156,-0.938215283,-0.999721481,-0.679242343,-0.944615254,114.07,110.6,3.47,7.05201419344874e-08,-0.0056758137116967,169670454,170638969,0,5,4
Ariel Hukporti,NYK,8.433965101675008e-08,4.15,-3.791850813904011,-0.040417405870822,-3.791850813904016,NYK,0.1068462836666666,0.0052576928333332,-0.3643125093333333,-0.5596133886666667,0.4998607406666667,0.1363226343333333,0.2887922395,118.56,114.41,4.15,5.060379061005004e-07,-0.242504435224932,1130255244,1177861344,4,4,2
Bismack Biyombo,SAS,-5.7965458325992e-08,-2.02,1.9424588398861709,0.108799588628645,1.942458839886167,SAS,1.161898331,1.1204351615,-0.2673644815,-0.4896805545,0.1666202464999999,0.2880556535,0.7398143825,114.94,116.96,-2.02,-1.15930916651984e-07,0.21759917725729,323367234,291637224,0,5,4
Bobby Portis,MIL,4.8987781258529306e-08,2.39,1.9984199822692987,0.108144598340233,2.006781572153276,MIL,0.0491170208333333,0.0571839164999999,-0.1916238353333333,-0.1978918338333333,-0.2653581708333333,-0.1671434039999999,-0.4567749766666666,114.96999999999998,112.57,2.39,2.9392668755117586e-07,0.648867590041398,1095601206,988680726,4,4,2
Branden Carlson,OKC,3.628002827667077e-07,13.01,-87.19308912267017,-0.0721684335386055,-87.19308912267012,OKC,0.618446993,0.801459788,-0.149209073,-0.735651212,-1.147828367,-1.020641636,2.47947122,120.27,107.26,13.01,3.628002827667077e-07,-0.0721684335386055,164952350,177782645,0,5,0
Bruno Fernando,TOR,-1.4437947368128786e-07,-5.2,-19.339533004949303,-0.0444684895580186,-19.30234159532439,TOR,0.0630516705,0.1709270724999999,0.477923479,-0.0990212755,0.24067369,-0.451642815,1.2368591935000002,110.67,115.86,-5.2,-2.8875894736257573e-07,-0.0889369791160372,338909294,354681442,2,2,1
Caleb Houstan,ORL,-5.32e-08,-1.33,1.2569738064520997,-0.2458188289446188,1.2664247373276825,ORL,-0.2504779475,-0.1480483007499999,0.6597010302499999,0.39292003875,-0.43969231825,-0.0533436394999999,-0.3785364415,108.56,109.9,-1.33,-2.128e-07,-0.9832753157784752,601436952,797470124,2,2,1
Cam Thomas,BRK,-1.5395416399652416e-07,-6.16,-2.2473107109469077,1.848441653178013,-2.2436624792732944,BRK,-0.5902843327999999,-0.2697040244,1.1268693376,1.0671690168,0.1518095582,0.094596054,-0.0941163552,109.22,115.37,-6.16,-7.697708199826208e-07,9.242208265890064,845273380,296749410,1,3,1
Cameron Payne,NYK,8.433965101675008e-08,4.15,6.205237175917433,-0.040417405870822,6.205237175917441,NYK,0.1068462836666666,0.0052576928333332,-0.3643125093333333,-0.5596133886666667,0.4998607406666667,0.1363226343333333,0.2887922395,118.56,114.41,4.15,5.060379061005004e-07,-0.242504435224932,1130255244,1177861344,4,4,2
Chris Boucher,TOR,-1.4437947368128786e-07,-5.2,-7.569497488850505,-0.0444684895580186,-7.554940762910404,TOR,0.0630516705,0.1709270724999999,0.477923479,-0.0990212755,0.24067369,-0.451642815,1.2368591935000002,110.67,115.86,-5.2,-2.8875894736257573e-07,-0.0889369791160372,338909294,354681442,2,2,1
Chris Duarte,CHI,-1.1871739594981116e-07,-2.54,43.552589528949255,0.2304328125079025,43.55258952894911,CHI,-0.1300427606666666,0.0299844659999999,0.4203605876666667,1.2899894946666668,-0.24684481,-0.7551088526666666,-0.5212067113333333,113.62,116.16,-2.54,-3.561521878494335e-07,0.6912984375237076,497758062,404539002,2,2,1
Christian Braun,DEN,7.235110638261624e-08,3.72,-11.892245894433875,-0.0847526992765661,-11.892245894433872,DEN,-0.2176319872499999,-0.1925564924999999,-0.6127418295,-0.64160360775,0.97195144,-0.3378430504999999,-0.08859363525,119.89,116.17,3.72,2.8940442553046497e-07,-0.3390107971062644,730297260,797923424,4,4,2
Chuma Okeke,PHI,-1.0891564401684165e-07,-5.6,3.532561988456282,-0.0309394938546513,3.532561988456279,PHI,0.415399241,0.408304095,-0.930852544,-0.475211693,0.2221603295,0.5156551819999999,-0.806547251,112.39,117.99,-5.6,-2.178312880336833e-07,-0.0618789877093026,338015776,348807710,0,5,3
Clint Capela,ATL,-4.020269595096108e-08,-1.73,11.59446919156183,0.1595899003749404,11.594469191561856,ATL,0.2929733902499999,0.3489598395,-0.27645335925,-0.37031244175,-0.3239838135,-0.0533436395,0.2565763722499999,113.6,115.33,-1.73,-1.6081078380384433e-07,0.6383596014997616,671078164,578720256,0,5,4
Collin Sexton,UTA,-1.7877296307887828e-07,-7.54,-4.518849123850981,0.0214512147058481,-4.524842292450251,UTA,0.30491737575,0.582627846,0.986900623,0.5629291694999999,0.3239838135,-0.48009275575,0.4636783765,111.76,119.31,-7.54,-7.150918523155131e-07,0.0858048588233924,614238452,601339000,2,2,1
Cory Joseph,ORL,-5.32e-08,-1.33,1.618426180711321,-0.2458188289446188,1.6305947986114102,ORL,-0.2504779475,-0.1480483007499999,0.6597010302499999,0.39292003875,-0.43969231825,-0.0533436394999999,-0.3785364415,108.56,109.9,-1.33,-2.128e-07,-0.9832753157784752,601436952,797470124,2,2,1
D'Angelo Russell,BRK,-1.5395416399652416e-07,-6.16,-5.3122256439729805,1.848441653178013,-5.303601901044457,BRK,-0.5902843327999999,-0.2697040244,1.1268693376,1.0671690168,0.1518095582,0.094596054,-0.0941163552,109.22,115.37,-6.16,-7.697708199826208e-07,9.242208265890064,845273380,296749410,1,3,1
Dalano Banton,POR,-8.204645381993294e-08,-2.79,-2.4443418519806257,-0.0219220116701487,-2.4443418519806186,POR,-0.2594359364999999,-0.214810588,0.4143013355,0.2554658479999999,-0.046283402,0.6294549465,-0.171434437,112.15,114.94,-2.79,-1.6409290763986589e-07,-0.0438440233402974,334173226,341663170,2,2,1
Dante Exum,DAL,-7.866830296736841e-09,-0.34,-0.8995998278335267,-0.0780422912977279,-0.9260586462992412,DAL,0.4950258106666667,0.6580445036666667,0.5051901116666666,0.257877325,0.1542780063333333,0.1932225166666666,-0.3739341746666667,115.66,116.01,-0.34,-2.360049089021052e-08,-0.2341268738931837,525715590,570216600,2,5,4
Dario Šarić,DEN,7.235110638261624e-08,3.72,-10.126799094255825,-0.0847526992765661,-10.12679909425582,DEN,-0.2176319872499999,-0.1925564924999999,-0.6127418295,-0.64160360775,0.97195144,-0.3378430504999999,-0.08859363525,119.89,116.17,3.72,2.8940442553046497e-07,-0.3390107971062644,730297260,797923424,4,4,2
David Roddy,ATL,-4.020269595096108e-08,-1.73,5.226797306386626,0.1595899003749404,5.226797306386637,ATL,0.2929733902499999,0.3489598395,-0.27645335925,-0.37031244175,-0.3239838135,-0.0533436395,0.2565763722499999,113.6,115.33,-1.73,-1.6081078380384433e-07,0.6383596014997616,671078164,578720256,0,5,4
Day'Ron Sharpe,BRK,-1.5395416399652416e-07,-6.16,-12.193429470765256,1.848441653178013,-12.173634942403636,BRK,-0.5902843327999999,-0.2697040244,1.1268693376,1.0671690168,0.1518095582,0.094596054,-0.0941163552,109.22,115.37,-6.16,-7.697708199826208e-07,9.242208265890064,845273380,296749410,1,3,1
De'Anthony Melton,GSW,4.37580127377423e-08,2.44,2.283146636549642,0.0308099399106433,2.28314663654964,GSW,-0.1250661002499999,-0.15917534875,0.49610123425,0.46164713425,-0.1897619475,0.6294549465,-0.0057528334999999,114.39,111.95,2.44,1.750320509509692e-07,0.1232397596425732,703038776,682025608,2,2,1
Doug McDermott,SAC,1.5719054682998314e-08,0.7,-1.4153239358748992,-0.0009915644528828,-1.4153239358749052,SAC,-0.8673847948000001,-0.8601793674,-0.254640053,-0.5562373208,0.314727133,-0.0647236162,-0.4917522040000001,116.95,116.25,0.7,7.859527341499157e-08,-0.004957822264414,841318980,842154030,4,4,2
Elfrid Payton,NOP,-2.5132284856886204e-07,-9.23,20.14268304130185,-0.0016979828681875,20.142683041301865,NOP,-0.8466818873333334,-1.6316546893333337,-0.13709057,1.092248378,0.697336589,-0.1102435216666666,-0.208252571,110.67,119.90000000000002,-9.23,-7.539685457065861e-07,-0.0050939486045625,510804195,511673007,3,1,1
Gabe Vincent,LAL,1.8879987818303512e-08,0.92,-1.144836418542628,-0.0064306956196978,-1.1323925444280296,LAL,0.6662229353333333,0.7618969509999999,-0.6763639723333333,-0.6777757633333333,-0.4011228166666666,-0.2619765406666666,0.15992877,115.06,114.15000000000002,0.92,5.6639963454910547e-08,-0.0192920868590934,564066459,567717276,0,5,4
Garrison Mathews,ATL,-4.020269595096108e-08,-1.73,6.257836787579057,0.1595899003749404,6.257836787579072,ATL,0.2929733902499999,0.3489598395,-0.27645335925,-0.37031244175,-0.3239838135,-0.0533436395,0.2565763722499999,113.6,115.33,-1.73,-1.6081078380384433e-07,0.6383596014997616,671078164,578720256,0,5,4
Gary Harris,ORL,-5.32e-08,-1.33,0.8900113566385961,-0.2458188289446188,0.8967031713501668,ORL,-0.2504779475,-0.1480483007499999,0.6597010302499999,0.39292003875,-0.43969231825,-0.0533436394999999,-0.3785364415,108.56,109.9,-1.33,-2.128e-07,-0.9832753157784752,601436952,797470124,2,2,1
Gary Payton II,GSW,4.37580127377423e-08,2.44,-9.447272457061024,0.0308099399106433,-9.447272457061016,GSW,-0.1250661002499999,-0.15917534875,0.49610123425,0.46164713425,-0.1897619475,0.6294549465,-0.0057528334999999,114.39,111.95,2.44,1.750320509509692e-07,0.1232397596425732,703038776,682025608,2,2,1
Gary Trent Jr.,MIL,4.8987781258529306e-08,2.39,-21.17788695780921,0.108144598340233,-21.26649736349047,MIL,0.0491170208333333,0.0571839164999999,-0.1916238353333333,-0.1978918338333333,-0.2653581708333333,-0.1671434039999999,-0.4567749766666666,114.96999999999998,112.57,2.39,2.9392668755117586e-07,0.648867590041398,1095601206,988680726,4,4,2
Guerschon Yabusele,PHI,-1.0891564401684165e-07,-5.6,20.256581508926427,-0.0309394938546513,20.25658150892641,PHI,0.415399241,0.408304095,-0.930852544,-0.475211693,0.2221603295,0.5156551819999999,-0.806547251,112.39,117.99,-5.6,-2.178312880336833e-07,-0.0618789877093026,338015776,348807710,0,5,3
Isaiah Jackson,IND,3.082292466877211e-08,1.3,90.33597547531144,0.0216212432155607,89.641083356271,IND,0.4094272479999999,0.423140159,0.2961459275,-0.7211823500000001,0.1295935255,-0.2240432859999999,2.7003800250000003,116.06,114.77,1.3,6.164584933754422e-08,0.0432424864311214,337139534,330004428,0,5,0
Jabari Walker,POR,-8.204645381993294e-08,-2.79,8.919184420825406,-0.0219220116701487,8.919184420825381,POR,-0.2594359364999999,-0.214810588,0.4143013355,0.2554658479999999,-0.046283402,0.6294549465,-0.171434437,112.15,114.94,-2.79,-1.6409290763986589e-07,-0.0438440233402974,334173226,341663170,2,2,1
Jaden Ivey,DET,8.594230653539204e-08,2.18,1.4143701191396942,0.1124981752321864,1.4143701191396985,DET,0.03319170675,0.245107392375,0.105279498625,-0.13519343125,-0.09488097375,0.145805948125,-0.095497035375,114.34,112.16,2.18,6.875384522831364e-07,0.8999854018574912,1134465760,1019746176,4,4,2
Jae Crowder,SAC,1.5719054682998314e-08,0.7,-0.5905473036843514,-0.0009915644528828,-0.5905473036843538,SAC,-0.8673847948000001,-0.8601793674,-0.254640053,-0.5562373208,0.314727133,-0.0647236162,-0.4917522040000001,116.95,116.25,0.7,7.859527341499157e-08,-0.004957822264414,841318980,842154030,4,4,2
Jae'Sean Tate,HOU,1.0269189293016497e-07,4.4,-6.0199981218153145,-0.1076590711749412,-6.006316307902098,HOU,-0.480399667,-0.6747285685,-0.6854528499999999,-0.1858344485,0.573914184,0.0604561245,-0.060980035,114.51,110.12,4.4,2.0538378586032998e-07,-0.2153181423498824,335610860,376101610,4,4,4
Jalen Duren,DET,8.594230653539204e-08,2.18,-7.885597801689218,0.1124981752321864,-7.885597801689242,DET,0.03319170675,0.245107392375,0.105279498625,-0.13519343125,-0.09488097375,0.145805948125,-0.095497035375,114.34,112.16,2.18,6.875384522831364e-07,0.8999854018574912,1134465760,1019746176,4,4,2
Jalen McDaniels,WAS,-3.812903225806452e-07,-11.82,3.7112692995587886,0.0839763438473104,3.7112692995587855,WAS,-0.5149114985,-0.2075487255,-1.0399190754999998,1.39127153,-0.0555400825,2.56405094,-0.944615254,106.89,118.71,-11.82,-7.625806451612904e-07,0.1679526876946208,335366626,309385558,3,1,3
Javonte Green,CLE,2.74739712032483e-07,10.09,-8.922824502038234,-0.1851725223475906,-8.922824502038225,CLE,0.0212477215,-0.3594622107499999,-0.38551989025,-0.0773179825,-0.314727133,0.06045612475,-0.30950244,122.38,112.29,10.09,1.098958848129932e-06,-0.7406900893903624,676320652,830016992,4,4,2
Jaxson Hayes,LAL,1.8879987818303512e-08,0.92,-0.9511914166182168,-0.0064306956196978,-0.9408523794810586,LAL,0.6662229353333333,0.7618969509999999,-0.6763639723333333,-0.6777757633333333,-0.4011228166666666,-0.2619765406666666,0.15992877,115.06,114.15000000000002,0.92,5.6639963454910547e-08,-0.0192920868590934,564066459,567717276,0,5,4
Jaylen Nowell,NOP,-2.5132284856886204e-07,-9.23,-12.76054790518926,-0.0016979828681875,-12.760547905189268,NOP,-0.8466818873333334,-1.6316546893333337,-0.13709057,1.092248378,0.697336589,-0.1102435216666666,-0.208252571,110.67,119.90000000000002,-9.23,-7.539685457065861e-07,-0.0050939486045625,510804195,511673007,3,1,1
Jeremiah Robinson-Earl,NOP,-2.5132284856886204e-07,-9.23,13.646498604452574,-0.0016979828681875,13.64649860445258,NOP,-0.8466818873333334,-1.6316546893333337,-0.13709057,1.092248378,0.697336589,-0.1102435216666666,-0.208252571,110.67,119.90000000000002,-9.23,-7.539685457065861e-07,-0.0050939486045625,510804195,511673007,3,1,1
John Collins,UTA,-1.7877296307887828e-07,-7.54,-6.304638772514859,0.0214512147058481,-6.313000362398828,UTA,0.30491737575,0.582627846,0.986900623,0.5629291694999999,0.3239838135,-0.48009275575,0.4636783765,111.76,119.31,-7.54,-7.150918523155131e-07,0.0858048588233924,614238452,601339000,2,2,1
Jonathan Kuminga,GSW,4.37580127377423e-08,2.44,1.345102256277722,0.0308099399106433,1.3451022562777208,GSW,-0.1250661002499999,-0.15917534875,0.49610123425,0.46164713425,-0.1897619475,0.6294549465,-0.0057528334999999,114.39,111.95,2.44,1.750320509509692e-07,0.1232397596425732,703038776,682025608,2,2,1
Jordan Clarkson,UTA,-1.7877296307887828e-07,-7.54,-4.156586480464764,0.0214512147058481,-4.162099194629835,UTA,0.30491737575,0.582627846,0.986900623,0.5629291694999999,0.3239838135,-0.48009275575,0.4636783765,111.76,119.31,-7.54,-7.150918523155131e-07,0.0858048588233924,614238452,601339000,2,2,1
