Player,eFG%,TS%,USG%,3PAr,FTr,AST%,TOV%,STL%,BLK%,DBPM,DRB%,ORB%,DWS,VORP,PER,2024-25_Player_Salary,2025-26_Player_Salary,2026-27_Player_Salary,2027-28_Player_Salary,2028-29_Player_Salary,Guaranteed_Player_Salary,BadPass,LostBall,OnCourt,On-Off,DWS.1,OWS,PG%,SG%,SF%,PF%,C%,Team,W/L%,MOV,ORtg,DRtg,NRtg,NRtg/A,2024-25_Payroll,2025-26_Payroll,Value_per_Dollar,Cap_Impact_Score,Cluster
A.J. Green,0.594559022,0.608590958,-0.858141524,1.770712432,-0.847318892,-0.648838039,-0.796074513,-0.565442579,-0.944615254,-0.299106029,-0.987959805,-1.084961917,0.329984929,-0.775142815,-1.052570172,48787676,54126450.0,58456566.0,62786682.0,,161370692,-0.23131658,-0.338143147,0.423082289,0.272128687,0.329984929,0.209152147,0.187610304,2.172503515,-0.62566685,-0.69781851,-0.743372912,MIL,0.571,2.39,114.97,112.57,2.39,2.09,182600201,164780121,4.8987781258529306e-08,0.108144598340233,0
Alec Burks,0.069023663,0.222853296,-0.512764176,1.25167108,-0.088059552,-0.504149417,-0.907154677,0.003556243,-0.668479248,0.361834148,-0.161537252,-0.837412674,-0.243382549,-0.101715573,-0.380161875,34848340,37096620.0,48713700.0,52610796.0,56507892.0,173269456,-0.452275702,-0.932991824,0.776618744,1.172531179,-0.243382549,-0.33596838,-0.176239982,1.273846425,0.786565747,-0.6296,-0.743372912,MIA,0.414,-1.73,111.86,113.72,-1.85,-1.81,173088172,178497509,-5.3087177179745154e-08,-0.0303048318730319,0
Amir Coffey,0.200407503,0.623427021,-0.440053156,0.261871292,-0.05584855,-0.938215283,-0.999721481,-0.679242343,-0.944615254,-0.372543827,-1.182412171,-0.878670881,0.903352407,-0.438429194,-0.565653819,49205800,50000000.0,50300000.0,,,149505800,-0.065597239,0.171727148,-0.080027283,-0.957998661,0.903352407,1.299393201,-0.503705239,-0.164004919,2.110533806,0.018475846,-0.718696633,LAC,0.571,3.39,114.07,110.6,3.47,3.57,169670454,170638969,7.05201419344874e-08,-0.0056758137116967,0
Ariel Hukporti,1.478413945,1.216869577,-1.094452341,-1.681516097,0.772434367,-0.92374642,4.424693223,-1.703440222,2.369016818,0.508709743,0.616272211,0.235300713,-0.960091897,-0.943499626,-1.423554061,49205800,53142264.0,57078728.0,61015192.0,,159426792,-0.397035922,-0.593078294,-1.752526668,-2.352988437,-0.960091897,-1.06279575,-0.503705239,-0.739145456,-0.669799119,-0.424944469,1.526844778,NYK,0.629,4.17,118.56,114.41,4.15,3.31,188375874,196310224,8.433965101675008e-08,-0.040417405870822,0
Bismack Biyombo,1.502301916,1.216869577,-1.039919075,-1.681516097,0.243253614,-0.518618279,1.22188181,0.231155771,1.09879119,0.068082958,0.924155123,0.400333542,-0.816750027,-0.606786005,0.060381492,34848340,37096620.0,,,,71944960,-0.783714385,-0.678056676,-1.616551108,-1.236996616,-0.816750027,-0.608528644,-0.503705239,-0.739145456,-0.669799119,-0.69781851,1.724255012,SAS,0.435,-2.09,114.94,116.96,-2.02,-2.02,161683617,145818612,-5.7965458325992e-08,0.108799588628645,3
Bobby Portis,-0.432623725,-0.504113834,1.195944807,-0.49053749,-0.603435589,0.146949382,-0.703507709,-0.451642815,-0.060980035,-0.372543827,1.847803859,0.338446231,1.333378015,0.403354859,0.871908748,48787676,54126450.0,58456566.0,62786682.0,,161370692,0.155361882,0.171727148,0.341496953,0.15799316,1.333378015,-0.245114959,-0.503705239,-0.739145456,-0.669799119,2.099140406,-0.299199886,MIL,0.571,2.39,114.97,112.57,2.39,2.09,182600201,164780121,4.8987781258529306e-08,0.108144598340233,0
Branden Carlson,0.618446993,0.801459788,-0.149209073,1.501132815,-0.727678027,-0.735651212,-1.147828367,-1.020641636,2.47947122,0.729023135,0.875542031,-0.383572395,-0.960091897,-0.438429194,0.616857325,35859950,38333050.0,40806150.0,,,114999150,-1.004673506,-0.848013441,1.19814298,-0.488774827,-0.960091897,-0.699382065,-0.503705239,-0.739145456,-0.669799119,-0.69781851,1.724255012,OKC,0.829,13.06,120.27,107.26,13.01,12.87,164952350,177782645,3.628002827667077e-07,-0.0721684335386055,3
Bruno Fernando,-0.265407929,-0.29640894,0.268879295,-1.681516097,-0.405568004,0.783579318,1.573635665,-0.451642815,2.092880812,1.463401109,1.134811852,1.844370794,-0.960091897,-0.606786005,0.384992394,36016200,38095238.0,40000000.0,41904762.0,,114111438,-0.728474604,-0.932991824,-0.895880641,-0.171731696,-0.960091897,-0.790235486,-0.503705239,-0.739145456,-0.669799119,-0.69781851,1.724255012,TOR,0.343,-5.1,110.67,115.86,-5.2,-4.6,169454647,177340721,-1.4437947368128786e-07,-0.0444684895580186,3
Caleb Houstan,-0.396791769,-0.415097451,-1.05809683,1.774736008,-0.654052879,-1.111841629,-1.518095583,-0.679242343,-0.834160851,-0.299106029,-1.3930689,-0.75489626,-0.530066288,-1.111856436,-1.49311354,25000000,15000000.0,14500000.0,14500000.0,15000000.0,69000000,-0.949433726,-0.848013441,-1.398990213,-1.236996616,-0.530066288,-0.517675223,-0.467320211,-0.164004919,2.507724224,-0.322616704,-0.718696633,ORL,0.465,-1.31,108.56,109.9,-1.33,-1.82,150359238,199367531,-5.32e-08,-0.2458188289446188,4
Cam Thomas,-0.480399667,0.04482053,2.741053994,0.048621744,0.376699195,1.463615841,-0.351753855,-0.793042108,-0.999842455,-2.061613167,-0.809711803,-0.878670881,-0.816750027,0.066641237,1.034214199,40011909,,,,,39256083,0.100122102,1.276446119,-0.909478197,-0.006869268,-0.816750027,-0.063408117,-0.067084896,1.52547041,0.433507597,-0.69781851,-0.743372912,BRK,0.324,-6.06,109.22,115.37,-6.16,-5.86,169054676,59349882,-1.5395416399652416e-07,1.848441653178013,1
Cameron Payne,-0.468455682,-0.474441706,0.668789908,0.668252506,-0.571224587,1.85427512,-0.48134738,0.231155771,-0.337116041,-0.078792637,-0.987959805,-0.981816399,-0.10004068,0.234998048,0.176313957,49205800,53142264.0,57078728.0,61015192.0,,159426792,-0.010357459,0.086748765,1.388508763,0.982305301,-0.10004068,0.209152147,2.407097046,-0.020219785,-0.669799119,-0.69781851,-0.743372912,NYK,0.629,4.17,118.56,114.41,4.15,3.31,188375874,196310224,8.433965101675008e-08,-0.040417405870822,0
Chris Boucher,0.39151127,0.638263085,0.686967663,0.41879077,-0.074254837,-0.981621869,-1.092288285,-0.451642815,0.380837575,-0.666295016,0.681089666,0.482849956,0.04330119,0.90842529,1.173333157,36016200,38095238.0,40000000.0,41904762.0,,114111438,-0.507515482,-0.168186382,-0.012039503,0.855488048,0.04330119,0.663419253,-0.503705239,-0.739145456,-0.537402313,2.406123702,-0.570638957,TOR,0.343,-5.1,110.67,115.86,-5.2,-4.6,169454647,177340721,-1.4437947368128786e-07,-0.0444684895580186,3
Chris Duarte,0.284015401,0.564082766,-0.058320298,0.640087471,0.261659901,0.595484109,-1.70322919,-1.931039751,-1.165524059,-0.886608409,0.907950759,0.152784299,-1.246775636,-0.438429194,0.640043818,21395348,10000000.0,10000000.0,,,31395348,-1.059913287,-0.932991824,0.817411412,1.172531179,-1.246775636,-0.699382065,-0.030699868,2.244396082,-0.449137776,-0.69781851,-0.743372912,CHI,0.437,-2.61,113.62,116.16,-2.54,-2.71,165919354,134846334,-1.1871739594981116e-07,0.2304328125079025,1
Christian Braun,0.857326702,1.276213832,-0.31280887,-0.595150476,0.068393888,-0.475211693,-0.870127956,-0.110243522,-0.392343242,-0.445981624,-0.566646346,-0.424830602,1.046694276,1.413495722,0.500924859,51415938,55224526.0,59033114.0,62841702.0,,165673578,0.762999467,0.25670553,1.211740536,1.603709837,1.046694276,3.752435574,-0.394550154,1.705201828,0.610036672,-0.69781851,-0.743372912,DEN,0.62,3.86,119.89,116.17,3.72,3.68,182574315,199480856,7.235110638261624e-08,-0.0847526992765661,0
Chuma Okeke,0.355679314,0.163509041,-1.585251729,1.002209345,-1.1556242,-0.706713488,0.333240494,1.25535365,-1.165524059,-1.327235193,-0.291172162,1.266755893,-1.246775636,-0.606786005,-0.217856424,51415938,55224526.0,57985752.0,62624612.0,67263472.0,227250828,-1.059913287,-0.932991824,-0.827892861,-0.095641345,-1.246775636,-0.881088908,-0.503705239,-0.739145456,-0.537402313,1.416955304,0.120296861,PHI,0.329,-5.43,112.39,117.99,-5.6,-5.28,169007888,174403855,-1.0891564401684164e-07,-0.0309394938546513,2
Clint Capela,0.069023663,-0.118376173,-0.149209073,-1.669445368,-0.009832832,-0.750120074,-0.499860741,-0.451642815,1.09879119,-0.445981624,2.058460588,1.906258105,0.903352407,-0.101715573,0.941468227,43031940,45999660.0,48967380.0,,,89031600,-0.12083702,-0.253164764,-0.351978402,-0.082959619,0.903352407,0.663419253,-0.503705239,-0.739145456,-0.669799119,-0.69781851,1.724255012,ATL,0.486,-1.91,113.6,115.33,-1.73,-1.8,167769541,144680064,-4.020269595096108e-08,0.1595899003749404,3
Collin Sexton,-0.229575973,0.193181169,1.668566441,-0.385924504,0.174230038,1.752993085,0.370267215,-0.679242343,-0.999842455,-1.841299775,-1.376864536,-0.466088809,-1.103433766,0.066641237,0.524111352,42176400,46394100.0,46113154.0,49824681.0,53536209.0,238044544,2.309713318,3.825797591,-0.474356406,0.893533224,-1.103433766,0.845126095,0.260380361,1.992772097,-0.537402313,-0.69781851,-0.743372912,UTA,0.225,-7.49,111.76,119.31,-7.54,-7.1,153559613,150334750,-1.7877296307887826e-07,0.0214512147058481,2
Cory Joseph,-0.635671478,-0.904687559,-0.821786014,0.970020734,-0.700068596,0.566546385,-0.24067369,0.572555064,-0.558024845,0.87589873,-0.842120531,-0.75489626,-0.530066288,-0.606786005,-0.983010693,25000000,15000000.0,14500000.0,14500000.0,15000000.0,69000000,-0.673234824,-0.678056676,-0.311185734,-0.032232718,-0.530066288,-0.790235486,2.29794196,0.087619066,-0.669799119,-0.69781851,-0.743372912,ORL,0.465,-1.31,108.56,109.9,-1.33,-1.82,150359238,199367531,-5.32e-08,-0.2458188289446188,4
D'Angelo Russell,-1.029822997,-0.622802345,1.159589297,0.567663096,-0.101864267,2.707937989,0.148106886,0.231155771,-0.281888839,-0.372543827,-0.712485621,-1.002445503,0.473326798,0.571711669,0.176313957,40011909,,,,,39256083,2.309713318,0.851554207,0.069545833,0.348219039,0.473326798,-0.063408117,3.134797617,-0.739145456,-0.669799119,-0.69781851,-0.743372912,BRK,0.324,-6.06,109.22,115.37,-6.16,-5.86,169054676,59349882,-1.5395416399652416e-07,1.848441653178013,1
Dalano Banton,-0.731223361,-0.711818728,1.141411541,0.080810355,0.045386029,1.246582908,0.222160329,0.572555064,0.325610374,-0.078792637,-0.728689984,-0.775525363,-0.10004068,0.234998048,0.129940971,34005126,35550814.0,,,,69555940,0.762999467,0.681597442,-0.134417507,0.500399742,-0.10004068,-0.790235486,1.897706646,0.483028186,-0.669799119,-0.69781851,-0.743372912,POR,0.451,-3.03,112.15,114.94,-2.79,-2.47,167086613,170831585,-8.204645381993293e-08,-0.0219220116701487,3
Dante Exum,0.12874359,0.282197552,0.377945826,-0.16865138,-0.014434404,1.174238597,-0.074053443,0.003556243,-0.77893365,-0.813170611,-1.182412171,-1.04370371,-0.960091897,-0.606786005,0.083567985,43219440,54126450.0,58456566.0,62786682.0,,155802456,-0.341796141,-0.848013441,-1.004661089,-0.970680386,-0.960091897,-0.426821802,2.80733236,-0.415628904,-0.669799119,-0.69781851,-0.743372912,DAL,0.479,-0.39,115.66,116.01,-0.34,0.25,175238530,190072200,-7.866830296736841e-09,-0.0780422912977279,0
Dario Šarić,-1.806182051,-2.106408734,-0.367342135,0.185423341,-0.331942855,0.00226076,1.166341728,0.003556243,-0.944615254,-0.445981624,0.438024209,0.317817127,-0.960091897,-0.775142815,-1.469927047,51415938,55224526.0,59033114.0,62841702.0,,165673578,-0.562755263,-0.763035059,-1.290209765,-1.858401153,-0.960091897,-1.06279575,-0.503705239,-0.739145456,-0.669799119,-0.56138149,1.625549895,DEN,0.62,3.86,119.89,116.17,3.72,3.68,182574315,199480856,7.235110638261624e-08,-0.0847526992765661,0
David Roddy,0.069023663,0.04482053,-0.330986625,0.257847715,-0.253716136,-0.099021276,0.407293937,0.117356007,-0.060980035,0.141520755,0.729702757,-0.548605224,-0.673408158,-0.438429194,-0.310602396,43031940,45999660.0,48967380.0,,,89031600,-0.452275702,-0.338143147,-0.963868421,-0.66631898,-0.673408158,-0.699382065,-0.503705239,-0.739145456,-0.405005507,2.133249661,-0.47193384,ATL,0.486,-1.91,113.6,115.33,-1.73,-1.8,167769541,144680064,-4.020269595096108e-08,0.1595899003749404,3
Day'Ron Sharpe,-0.134024089,0.015148402,0.505190112,-1.142356863,-0.014434404,0.537608661,0.536887462,0.572555064,1.430154398,0.361834148,1.361672945,2.525131213,0.473326798,0.403354859,1.497944059,40011909,,,,,39256083,0.044882322,0.25670553,0.287106729,1.476892585,0.473326798,0.390858989,-0.503705239,-0.739145456,-0.669799119,-0.69781851,1.724255012,BRK,0.324,-6.06,109.22,115.37,-6.16,-5.86,169054676,59349882,-1.5395416399652416e-07,1.848441653178013,1
De'Anthony Melton,-0.301239885,-0.48927777,1.068700521,0.925761393,-0.47459158,1.203176321,0.425807298,1.25535365,-0.281888839,0.508709743,-0.437011436,-0.23916867,-0.960091897,-0.606786005,-0.101923959,55761216,59606817.0,62587158.0,,,177955191,-0.949433726,-0.763035059,2.027593894,1.616391563,-0.960091897,-0.881088908,1.388316246,0.62681332,-0.228476433,-0.69781851,-0.743372912,GSW,0.577,2.42,114.39,111.95,2.44,2.8,175759694,170506402,4.37580127377423e-08,0.0308099399106433,0
Doug McDermott,0.546783081,0.430558191,-0.494586421,1.766688856,-0.902537754,-1.574845219,-1.20336845,-1.134441401,-0.77893365,-1.767861978,-1.474090719,-1.146849228,-1.103433766,-0.943499626,-1.330808089,44531940,47499660.0,48967380.0,,,92031600,-0.894193945,-0.932991824,0.436679845,0.322855588,-1.103433766,-0.699382065,-0.503705239,-0.631306606,1.757475657,0.700660948,-0.718696633,SAC,0.5,0.67,116.95,116.25,0.7,0.64,168263796,168430806,1.5719054682998314e-08,-0.0009915644528828,3
Elfrid Payton,-0.635671478,-2.699851289,-0.458230911,-1.621162451,-1.017577047,3.37350565,2.962137722,1.369153415,0.049474368,0.214958553,-0.404602709,-0.837412674,-0.960091897,-0.943499626,-1.168502637,36725670,39446090.0,42166510.0,44886930.0,,163225200,0.155361882,-0.678056676,-1.480575549,-0.260503773,-0.960091897,-1.244502593,2.261556932,0.12356535,-0.669799119,-0.69781851,-0.743372912,NOP,0.268,-8.99,110.67,119.9,-9.23,-8.33,170268065,170557669,-2.5132284856886204e-07,-0.0016979828681875,0
Gabe Vincent,-0.384847783,-0.667310537,-0.803608258,1.1631524,-0.930147184,-0.518618279,-0.647967627,0.003556243,-0.668479248,-0.005354839,-1.700951812,-1.04370371,0.04330119,-1.785283678,-1.516300033,48728845,52627153.0,,,,48728845,0.210601663,-0.763035059,0.178326281,-0.209776872,0.04330119,-0.790235486,2.370712018,0.015726499,-0.669799119,-0.69781851,-0.743372912,LAL,0.614,0.89,115.06,114.15,0.92,0.84,188022153,189239092,1.8879987818303512e-08,-0.0064306956196978,3
Garrison Mathews,0.164575547,0.57891883,-0.276453359,1.734500245,0.289269332,-0.446273968,-0.573914184,-0.224043286,-0.281888839,-0.445981624,-0.874529259,-0.961187296,-0.530066288,-0.438429194,-0.472907847,43031940,45999660.0,48967380.0,,,89031600,-0.23131658,-0.508099911,-0.474356406,-0.209776872,-0.530066288,0.027445304,-0.285395068,1.884933246,0.256978523,-0.69781851,-0.743372912,ATL,0.486,-1.91,113.6,115.33,-1.73,-1.8,167769541,144680064,-4.020269595096108e-08,0.1595899003749404,3
Gary Harris,-0.695391405,-1.02337607,-1.494362954,1.376401947,-0.695467024,-1.097372767,-0.407293937,0.231155771,-0.171434437,0.949336527,-1.441681991,-0.651750742,-0.243382549,-0.775142815,-1.655418991,25000000,15000000.0,14500000.0,14500000.0,15000000.0,69000000,-0.783714385,-0.848013441,0.314301841,0.652580445,-0.243382549,-0.881088908,-0.176239982,1.597362977,0.389375329,-0.6296,-0.743372912,ORL,0.465,-1.31,108.56,109.9,-1.33,-1.82,150359238,199367531,-5.32e-08,-0.2458188289446188,4
Gary Payton II,0.928990615,1.024000746,-0.258275604,-0.373853775,-0.50220101,0.118011657,-0.388780576,1.027754122,-0.116207236,1.243087717,-0.031902341,-0.094764945,0.616668668,0.571711669,0.640043818,55761216,59606817.0,62587158.0,,,177955191,-0.23131658,-0.678056676,1.143752756,0.944260125,0.616668668,0.48171241,0.333150418,1.884933246,-0.493270045,-0.69781851,-0.743372912,GSW,0.577,2.42,114.39,111.95,2.44,2.8,175759694,170506402,4.37580127377423e-08,0.0308099399106433,0
Gary Trent Jr.,0.188463518,0.23768936,-0.112853563,0.905643512,-0.612638733,-0.894808696,-1.147828367,0.231155771,-1.055069656,-0.299106029,-1.117594715,-1.064332814,0.760010537,-0.438429194,-0.542467326,48787676,54126450.0,58456566.0,62786682.0,,161370692,-0.507515482,0.341683913,0.069545833,-0.323912399,0.760010537,0.118298726,-0.394550154,1.166007574,1.272020702,-0.663709255,-0.743372912,MIL,0.571,2.39,114.97,112.57,2.39,2.09,182600201,164780121,4.8987781258529306e-08,0.108144598340233,0
Guerschon Yabusele,0.475119168,0.653099149,-0.276453359,0.294059903,-0.042043835,-0.243709898,0.111080165,-0.224043286,-0.447570443,-0.813170611,0.194958752,0.255929817,0.04330119,-0.101715573,0.106754478,51415938,55224526.0,57985752.0,62624612.0,67263472.0,227250828,0.155361882,1.446402884,-0.270393066,0.754034246,0.04330119,1.299393201,-0.503705239,-0.739145456,-0.669799119,0.189022122,1.082671751,PHI,0.329,-5.43,112.39,117.99,-5.6,-5.28,169007888,174403855,-1.0891564401684164e-07,-0.0309394938546513,2
Isaiah Jackson,0.666222935,0.415722127,0.014390723,-1.681516097,1.646733001,-0.663306901,0.388780576,0.003556243,3.584015244,1.169649919,1.16722058,1.761854379,-1.103433766,-0.438429194,1.057400692,42176400,45550512.0,48924624.0,52298736.0,55672848.0,244623120,-0.949433726,-1.017970206,0.912594304,0.754034246,-1.103433766,-0.790235486,-0.503705239,-0.739145456,-0.669799119,-0.69781851,1.724255012,IND,0.586,1.21,116.06,114.77,1.3,0.64,168569767,165002214,3.082292466877211e-08,0.0216212432155607,2
Jabari Walker,0.212351488,0.282197552,-0.31280887,-0.309476553,0.201839469,-0.735651212,-0.314727133,0.686354829,-0.668479248,0.28839635,1.361672945,0.482849956,-0.10004068,-0.270072384,0.292246422,34005126,35550814.0,,,,69555940,-0.617995043,-0.083207999,0.001558053,0.627216994,-0.10004068,-0.154261538,-0.503705239,-0.739145456,0.168713985,1.553392325,-0.373228723,POR,0.451,-3.03,112.15,114.94,-2.79,-2.47,167086613,170831585,-8.204645381993293e-08,-0.0219220116701487,3
Jaden Ivey,-0.205688002,-0.044195853,1.541322155,-0.180722109,0.137417464,1.015081113,0.666480988,-0.224043286,-0.502797644,-0.666295016,-0.842120531,-0.280426877,0.04330119,0.066641237,0.245873436,25365854,26634146.0,,,,52000000,1.260157491,1.361424502,-0.46075885,-0.996043836,0.04330119,-0.608528644,-0.249010039,1.992772097,0.124581717,-0.69781851,-0.743372912,DET,0.549,2.2,114.34,112.16,2.18,1.58,141808220,127468272,8.594230653539204e-08,0.1124981752321864,1
Jae Crowder,-1.340366618,-0.934359687,-1.185341116,1.159128823,0.468730631,-1.068435042,0.814587874,-0.110243522,-1.165524059,-0.372543827,-0.32358089,0.173413402,-1.103433766,-0.775142815,-1.632232498,44531940,47499660.0,48967380.0,,,92031600,-0.838954165,-1.017970206,-0.787100194,-0.869226584,-1.103433766,-0.881088908,-0.503705239,-0.739145456,2.64012103,0.154912867,-0.743372912,SAC,0.5,0.67,116.95,116.25,0.7,0.64,168263796,168430806,1.5719054682998314e-08,-0.0009915644528828,3
Jae'Sean Tate,-0.587895536,-0.48927777,-0.730897238,-0.550891136,0.376699195,-0.388398519,-0.296213772,0.572555064,-0.613252047,0.949336527,-0.437011436,0.585995474,-0.10004068,-0.438429194,-0.403348368,42846615,44886930.0,,,,42846615,-0.728474604,-0.593078294,0.803813856,0.259446962,-0.10004068,-0.245114959,-0.394550154,0.806544738,1.580946583,-0.595490745,-0.743372912,HOU,0.648,4.58,114.51,110.12,4.4,4.78,167805430,188050805,1.0269189293016497e-07,-0.1076590711749412,3
Jalen Duren,1.705349668,2.018017027,-0.276453359,-1.681516097,0.790840654,0.20482483,1.036748203,-0.451642815,1.209245593,1.169649919,2.188095499,1.720596172,3.053480449,2.928707016,1.683436003,25365854,26634146.0,,,,52000000,2.199233757,1.361424502,0.314301841,-0.082959619,3.053480449,3.389021889,-0.503705239,-0.739145456,-0.669799119,-0.69781851,1.724255012,DET,0.549,2.2,114.34,112.16,2.18,1.58,141808220,127468272,8.594230653539204e-08,0.1124981752321864,1
Jalen McDaniels,0.0,0.0,-3.184894182,0.0,0.0,0.682297283,0.0,5.807344223,-1.165524059,4.254037411,-2.494965638,-1.311882057,-1.246775636,-0.606786005,-0.658399791,31000000,33296296.0,,,,31000000,-1.059913287,-1.017970206,2.122776786,3.480605173,-1.246775636,-0.881088908,-0.503705239,-0.739145456,1.978137,0.427786907,-0.570638957,WAS,0.214,-12.0,106.89,118.71,-11.82,-11.31,167683313,154692779,-3.812903225806452e-07,0.0839763438473104,1
Javonte Green,0.988710542,0.04482053,-1.130807851,0.314177785,0.174230038,-1.010559594,-0.555400823,0.800154593,0.215155971,0.141520755,-0.291172162,-0.342314188,-0.243382549,-0.606786005,-0.565653819,36725670,39446090.0,42166510.0,44886930.0,,163225200,-0.286556361,-0.338143147,-1.208624429,-0.146368245,-0.243382549,0.027445304,0.078455218,1.02222244,0.830698015,-0.663709255,-0.743372912,CLE,0.8,10.13,122.38,112.29,10.09,9.24,169080163,207504248,2.74739712032483e-07,-0.1851725223475906,0
Jaxson Hayes,1.944229377,2.359246496,-0.967208055,-1.63323318,0.974903524,-0.648838039,0.370267215,-0.224043286,1.5406088,1.243087717,0.4866373,0.420962645,0.473326798,0.234998048,0.593670832,48728845,52627153.0,,,,48728845,-0.286556361,-0.678056676,1.1301552,1.033032202,0.473326798,0.845126095,-0.503705239,-0.739145456,-0.669799119,-0.663709255,1.699578732,LAL,0.614,0.89,115.06,114.15,0.92,0.84,188022153,189239092,1.8879987818303512e-08,-0.0064306956196978,3
Jaylen Nowell,-1.698686182,-2.106408734,0.723323173,-0.192792838,-0.460786865,0.407388901,-0.592427544,-1.589640458,0.104701569,-1.98817537,-0.987959805,-0.548605224,-1.246775636,-0.943499626,-1.423554061,36725670,39446090.0,42166510.0,44886930.0,,163225200,-0.728474604,-0.932991824,-1.684538888,-0.425366201,-1.246775636,-1.06279575,2.952872475,-0.523467755,-0.669799119,-0.69781851,-0.743372912,NOP,0.268,-8.99,110.67,119.9,-9.23,-8.33,170268065,170557669,-2.5132284856886204e-07,-0.0016979828681875,0
Jeremiah Robinson-Earl,-0.205688002,-0.088704045,-0.676363972,0.193470493,-0.341145999,-0.504149417,-0.277700411,-0.110243522,-0.77893365,-1.106921801,0.4866373,0.565366371,-0.673408158,-0.775142815,-0.148296945,36725670,39446090.0,42166510.0,44886930.0,,163225200,-0.065597239,-0.168186382,-1.657343776,-0.552183453,-0.673408158,0.118298726,-0.503705239,-0.739145456,-0.62566685,1.928594131,-0.200494769,NOP,0.268,-8.99,110.67,119.9,-9.23,-8.33,170268065,170557669,-2.5132284856886204e-07,-0.0016979828681875,0
John Collins,0.355679314,0.831131916,1.195944807,-0.558938288,0.266261473,-0.272647622,0.388780576,-0.224043286,0.546519178,-0.299106029,0.875542031,0.338446231,0.186643059,1.076782101,1.219706143,42176400,46394100.0,46113154.0,49824681.0,53536209.0,238044544,0.928718808,1.871294796,0.028753165,1.540301211,0.186643059,0.663419253,-0.503705239,-0.739145456,1.227888433,1.178190519,-0.669344074,UTA,0.225,-7.49,111.76,119.31,-7.54,-7.1,153559613,150334750,-1.7877296307887826e-07,0.0214512147058481,2
Jonathan Kuminga,-0.659559449,-0.533785962,1.813988482,-0.627339087,0.786239082,0.219293693,-0.592427544,-0.110243522,-0.116207236,-0.152230434,-0.11292416,-0.197910463,0.329984929,0.066641237,0.524111352,55761216,59606817.0,62587158.0,,,177955191,0.376321004,0.59661906,0.137533613,-0.311230674,0.329984929,-0.517675223,-0.503705239,-0.739145456,-0.272608701,1.246409029,0.095620582,GSW,0.577,2.42,114.39,111.95,2.44,2.8,175759694,170506402,4.37580127377423e-08,0.0308099399106433,0
Jordan Clarkson,-0.683447419,-0.444769578,1.813988482,0.205541223,0.183433182,1.478084703,0.037026722,-0.110243522,-0.723706449,-1.547548585,-0.858324895,-0.693008949,-0.816750027,-0.270072384,0.315432915,42176400,46394100.0,46113154.0,49824681.0,53536209.0,238044544,0.818239247,1.531381266,-1.439782881,-0.526820003,-0.816750027,-0.426821802,-0.394550154,2.064664664,0.168713985,-0.69781851,-0.743372912,UTA,0.225,-7.49,111.76,119.31,-7.54,-7.1,153559613,150334750,-1.7877296307887826e-07,0.0214512147058481,2
